1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
6,QuadReal Property Group Ltd,"199 Bay St, Ste 4900",Toronto,Ontario,M5L 1G2,416-673-7444,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
9,Benti Developments Inc,"6345 Netherhart Rd, Unit 3",,,L5T 1B8,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
17,Asherton Developments Ltd,129 Fernstaff Ct,Vaughan,Ontario,L4K 3M1,905-695-7800,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
22,Barry&#039;s Construction Ltd,"7839 Highway 21,",Allenford,Ontario,N0H 1A0,519-934-3374,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
30,South Thames Developments Inc,"361 Connie Cres, Ste 200",Concord,Ontario,L4K 5R2,,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
33,Frontdoor Developments (Palmerston) Inc,"1 West Pearce Dt, Ste 401",Richmond Hill,Ontario,L4B 3K3,905-886-8287,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
40,Quinlan Road Developments GP Inc,"6783 Wellington Rd 34, RR 22",Cambridge,Ontario,N3C 2V4,,2022-04-26,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
42,Longview Aviation Properties Inc,"747 Fort St, Ste 1100",Victoria,Ontario,V8W 3E9,,2022-04-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
44,New Horizon Development Group,"3170 Harvester Rd, Ste 200",Burlington,Ontario,L7N 3W8,905-777-0000,2022-04-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
46,Spotlight Development Inc,"550 Queen St E, Ste 200",Toronto,Ontario,M5A 1V2,905-695-9052,2022-04-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
50,Elm Developments,1931 Highway 7,Concord,Ontario,L4K 1V5,905-709-8232,2022-04-20,elmdevelopments.com,,2023-12-02 13:16:40,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
52,HBNG (Norwood) Developments Inc,161 Trade Valley Dr,Vaughan,Ontario,L4H 3N6,905-738-8640,2022-04-20,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
55,Aecon Construction And Materials Ltd,"20 Carlson Ct, Ste 800",,,M9W 7K6,,2023-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
62,Mountainview Homes (Niagara) Ltd,"3340 Schmon Parkway, Unit 1",Thorold,Ontario,L2V 4Y6more info: mi.pdf,905-688-3100,2023-04-05,mountainview.com,,2023-12-02 13:14:53,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
67,Elison Developments Inc,"1315 Michigan Ave, Unit D",,,N7S 4M6,,2022-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
75,Dogliola Developments Ltd,"1681 Langstaff Rd, Unit 1",,,L4K 5T3,,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
76,Greenpark Homes,8700 Dufferin St,Concord,Ontario,L4K 4S6,416-661-5329,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
77,Perspective Developments Ltd,"3250 Bloor St W,",Toronto,Ontario,M8X 2X9,,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
78,Pianosi Bros Construction Ltd,3250 Bloor St W,Toronto,Ontario,M8X 2X9,416-231-1297,2022-08-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
93,Radha Properties Inc,25 Maclean Ave,,,M4E 2Z8,,2022-08-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
108,Zenan Glass Realty Corp,14922 Bathurst St,King City,Ontario,L7B 1K5,,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
115,InterRent International Properties Inc,"485 Bank St, Ste 207",Ottawa,Ontario,K2P 1Z2,613-569-5699,2023-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
116,A1 Development,75 Scarsdale Rd,North York,Ontario,M3B 2R2,647-242-9869,2023-08-30,a1developmentsolutions.com,,2024-04-16 14:50:59,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
124,Altree Developments,"2828 Bathurst St, Ste 300",Toronto,Ontario,M9B 3A7,647-715-5711,2023-08-25,altreedev.com,,2023-12-02 13:14:47,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
132,Townwood Homes (Caledon) Inc,"1 Bradwick Dr, Units 1 &amp;amp; 2",Concord,Ontario,L4K 2T4more info: mi.pdf,905-669-1615,2023-08-08,townwoodhomes.com,,2023-12-09 16:46:08,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
139,Royal Pine Homes,"3550 Langstaff Rd, Ste 200",Woodbridge,Ontario,L4L 9G3,905-856-2150,2023-08-01,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
155,Mountainview Building Group,"3350 Merrittville Hwy, Ste 9",Thorold,Ontario,L2V 4Y6,905-688-3100,2022-12-21,mountainview.com,,2023-12-02 13:14:13,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
164,Ergo Properties Ltd,"359 Eastern Ave, Ste 400",Toronto,Ontario,M4M 1B7,416-616-8100,2022-12-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
170,KD Properties Inc,8555 Creditview Dr,Brampton,Ontario,L6Y 2X8,,2022-12-16,kdproperties.com,,2023-12-02 13:33:33,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
172,In8 (88 Queen) Developments Inc,44 Peter St,St Clements,Ontario,N0B 2M0,519-954-8868,2022-12-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
174,MA Homes Ltd,"90 Wingold Ave, Ste 1",Toronto,Ontario,M6B 1P5,888-657-8710,2022-12-15,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
197,StateView Homes (Elm&amp;Co) Inc,"410 Chrislea Rd, Unit 16",Vaughan,Ontario,L4L 8B5,905-851-1849,2022-12-09,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
200,Triple Net Realty,"4 Abacus Rd, Unit 3",Brampton,Ontario,L6T 5J6,416-571-0000,2022-12-09,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
209,Rutherford Properties Ltd,"77 King St W, Ste 4510",,,M5K 1J3,,2022-12-07,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
213,Lee-Mar Developments Ltd,"429 Spadina Rd, Ste 202",,,M5P 2W3,,2022-12-05,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),builder,builder,1,0,0,0,0,0,0,0,0
