1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
152,The Canada Life Assurance Co,"30 Yonge St, Ste 1000",Toronto,Ontario,M5E 1G4,416-507-2929,2022-12-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
366,Sun Life Assurance Company of Canada,"1 York St, Ste 1100",Toronto,Ontario,M5J 0B6,416-681-3400,2022-01-27,sunlife.com,,2023-12-02 13:14:18,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
764,Sunlife Assurance Company of Canada,,,,M5J 0B6,,2022-05-25,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2263,The Manufacturers Life Insurance Co,"250 Bloor St E, 8th Flr",Toronto,Ontario,M4W 1E5,416-926-5500,2010-10-28,,,2023-10-12 10:27:50,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2273,London Life Insurance Co,"255 Albert St, Ste 502",Ottawa,Ontario,K1P 6A9,613-238-2333,2009-12-24,londonlife.com,,2023-12-02 13:26:13,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2296,The Great-West Life Assurance Co,"33 University Ave, Ste 300",Toronto,Ontario,M5G 1K8,416-359-2929,2008-03-14,,,2023-10-12 10:27:50,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2385,The Prudential Insurance Co of America,"200 Consilium Place, Ste 500",Scarborough,Ontario,M1H 3E4,,1997-09-22,,,2023-10-12 10:27:51,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2395,The Manufacturers Life Insurance Co,"250 Bloor St E, 8th Flr",Toronto,Ontario,M4W 1E5,416-926-5500,2011-12-12,,,2023-10-12 10:28:01,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2396,The Standard Life Assurance Co of Canada,"100 Sheppard Ave E, Ste 1010",Toronto,Ontario,M2N 6N5,416-224-3535,2011-12-01,,,2023-10-12 10:28:01,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2407,The Great-West Life Assurance Co,"330 University Ave, Ste 300",Toronto,Ontario,M5E 1R8,416-552-5959,2011-07-21,,,2023-10-12 10:28:01,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2441,Sun Life Assurance Co of Canada   x7774,"225 King St W, 11th Flr",Toronto,Ontario,M5V 3C5,416-408-7500,2006-08-03,sunlife.com,,2023-12-09 16:46:40,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2450,Confederation Life Insurance Co,500-4101 Yonge St,Toronto,Ontario,M2P 1N6,,1998-02-06,,,2023-10-12 10:28:02,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2734,The Great-West Life Assurance Co,"33 Yonge St, Ste 1000",Toronto,Ontario,M5E 1G4,416-507-2929,2019-12-13,,,2023-10-12 10:28:17,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2748,The Great-West Life Assurance Company,"330 University Ave, Ste 300",Toronto,Ontario,M5G 1K8,416-552-5959,2016-12-21,quadreal.com,,2023-12-09 16:46:35,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2900,London Life Insurance Co,"33 Yonge St, Ste 1000",Toronto,Ontario,M5E 1G4,416-552-5959,2019-02-27,,,2023-10-12 10:28:31,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
2904,Industrial Alliance Insurance,125 Commerce Valley Dr W,Markham,Ontario,L3T 7W4,418-684-5000,2018-08-31,,,2023-10-12 10:28:31,'2023-10-30 12:42:37'),insurance,insurance,0,0,0,0,0,0,0,1,0
