1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
3,First Oshawa Holdings Inc,"480 University Ave, Ste 1401",Toronto,Ontario,M5G 1V2,877-820-1210,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
4,First Avenue Investments (Oshawa) Ltd,"110 Yonge St, Ste 1100",Toronto,Ontario,M5C 1T4,416-477-8950,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
7,Dorham Holdings Inc,374 Pomona Ave,,,L7N 1T5,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
24,Par 3 Holdings Inc,25 Kylemount Ct,Thornhill,Ontario,L4J 0J4,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
36,Plazacorp Investments Ltd,"10 Wanless Ave, Ste 201",Toronto,Ontario,M4N 1V6,416-481-2222,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
45,Lo-Well (1990) Holdings Inc,36 Urbandale Ave,,,M2M 2H1,,2022-04-21,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
48,KPMR Investments Inc,"7470 Airport Rd, 2nd Flr",Mississauga,Ontario,L4T 2H5,905-677-5555,2022-04-21,kromerinvestments.com,,2024-06-04 13:12:43,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
64,Bradgate Investments Ltd,"3520 Pharmacy Ave, Unit 1",Toronto,Ontario,M1W 2T8,416-499-4900,2023-04-03,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
94,Urban Capital ,17 Nelson St,Toronto,Ontario,M5V 0G2,416-304-0431,2022-08-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
95,Paccar Financial Services Ltd,,,,,,2022-08-15,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
100,Lorwood Holdings Inc,"3100 Rutherford Rd, Ste 402",Concord,Ontario,L4K 0G6,,2022-08-12,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
123,1705 Weston Road Holdings Ltd,"1001 Champlain Ave, Ste 302",,,L7L 5Z4,,2023-08-25,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
131,Caledon Terra Investments Inc,"145 Reynolds St, Ste 400",,,L6J 0A7,,2023-08-08,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
134,Britannia Road Investments Inc,"270 Orenda Rd, Unit 200",Brampton,Ontario,L6t 4X6,,2023-08-03,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
137,Milton Land Four Investments Ltd,480 Main St N,Brampton,Ontario,L6V 1P8,905-452-1945,2023-08-02,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
151,Woodbourne Capital Management Inc,"8 Spadina Ave, Ste 3300",Toronto,Ontario,M5V 0S8,416-867-9901,2022-12-22,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
161,DTSY Commercial Investments Inc,48 Tewsley Place,Toronto,Ontario,M9P 1N7,,2022-12-20,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
163,KingSett Capital,,Toronto,Ontario,M5H 3Y2,416-687-6700,2022-12-16,kingsettcapital.com,,2023-12-02 13:15:12,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
169,Et &amp; Jan Investments Ltd,204044 County Rd 109,,,L9W 7M1,,2022-12-16,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
179,DSW Canada Holdings Inc,32 Claireville Dr,Etobicoke,Ontario,M9W 5T9,888-874-6326,2022-12-15,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
187,Investors Group Trust Co Ltd,One Canada Centre,Winnipeg,Manitoba,R3B 3H5,204-943-0361,2022-12-13,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
188,CanFirst Capital Management,"30 St Clair Ave W, Ste 1400",Toronto,Ontario,M4V 3A1,416-924-9009,2022-12-13,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
194,Lark Investments,"220 Duncan Mill Rd, Ste 615",Toronto,Ontario,M3B 3J5,416-444-0544,2022-12-12,ebrahim.com,,2024-04-16 14:48:55,'2023-10-30 12:42:37'),investment,investment,0,1,0,0,0,0,0,0,0
