1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
235,O2G Mortgages/Falco Group,"4 Abacus Rd, Unit 3",Brampton,Ontario,L6T 5J6,905-915-9400,2022-02-24,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
831,King &amp; Benton Canal Bank,65 Canal Bank St,,,L3B 0J1,,2023-05-18,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
1631,Riverbank Metals Inc,98311 4th Line SW,Melancthon,Ontario,L9V 2C4,,2023-08-16,,,2023-10-12 10:27:29,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2064,Prudent Excellence Mortgage,,,,L4B 3N2,,2023-02-27,,,2023-10-12 10:27:42,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2137,1000344636 Ontario Ltd  19-729-0573,336 Activa Ave,Kitchener,Ontario,N2E 4B8,,2023-02-08,,,2023-10-12 10:27:43,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2603,TD 160 Front Street Nominee Ltd,66 Wellington St W,Toronto,Ontario,M5K 1A2,,2019-04-24,,,2023-10-12 10:28:15,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2642,Westbank Projects Corp,"1067 West Cordova St, Ste 501",Vancouver,British Columbia,V6C 1C7,604-685-8986,2013-11-29,,,2023-10-12 10:28:15,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2678,Bank of Montreal,20th Floor,Toronto,Ontario,M5X 1A1,,2002-09-12,bmo.com,,2023-12-02 13:25:24,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2893,Windsor Family Credit Union,3000 Marentette Ave,Windsor,Ontario,N8X 4G2,519-974-3100,2019-12-13,windsorfamily.com,,2023-12-02 13:25:54,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2941,Bank of Montreal,55 Bloor St W,Toronto,Ontario,M4W 3N5,,2014-05-12,bmo.com,,2023-12-02 13:27:08,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2968,Scotiabank,,,,,,2012-06-15,scotiabank.com,,2023-12-02 13:26:08,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2982,MBNA Canada Bank,13510 Ballantyne Corporate Place,Charlottem NC,,USA - 28277,,2011-12-01,mbna.ca,,2023-12-09 16:45:25,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
2983,The Toronto-Dominion Bank,"79 Wellington St W, 19th Flr",Toronto,Ontario,M5K 1A2,,2011-12-01,,,2023-10-12 10:28:32,'2023-10-30 12:42:37'),lender,lender,0,0,0,0,0,0,0,0,1
