1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
786,Empire Crossing Retirement Community Inc,"3000 Steeles Ave E, Ste 103",Markham,Ontario,L3R 4T9,905-470-4000,2022-05-17,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
789,Lynde Creek Manor Retirement,"3000 Steeles Ave E, Ste 103",Markham,Ontario,L3R 4T9,905-470-4000,2022-05-17,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
790,Harvest Retirement Community Inc,"3000 Steeles Ave E, Ste 103",Markham,Ontario,L3R 4T9,905-470-4000,2022-05-17,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
930,Chartwell Retirement Residences,7070 Derrycrest Dr,Mississauga,Ontario,L5W 0G5,905-501-9219,2022-04-01,,,2023-10-12 10:27:06,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
933,Castle Peak Retirement Residence Inc,1095 Lone Pine Dr,,,P1L 1X4,,2022-04-01,,,2023-10-12 10:27:06,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
1843,Chartwell Retirement Residences,,Mississauga,Ontario,L5W 0G5,855-461-0685,2023-08-23,,,2023-10-12 10:27:33,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
2424,Ontario Pension Board,"200 King St W, Ste 2200",Toronto,Ontario,M5H 3X6,416-364-8558,2010-12-16,opb.ca,,2023-12-09 16:45:22,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
2486,Vision Retirement Group Inc,34 Ferris Dr,Wellesley,Ontario,N0B 2T0,519-656-9324,2015-09-11,,,2023-10-12 10:28:03,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
2488,Oxford Gardens Retirement Village Inc,470 Industrial Ave,Woodstock,Ontario,N4S 7L1,519-421-1212,2015-09-11,chartwell.com,,2023-12-02 13:33:40,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
2512,Retirement Concepts,"1090 West Georgia St, Ste 1160",Vancouver,British Columbia,V6E 3V7,604-662-4969,2013-03-28,,,2023-10-12 10:28:03,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
2524,Quinte Gardens Retirement Residences Ltd,4799 Massey Lane,Ottawa,Ontario,K1J 8W8,613-749-8278,2012-01-19,,,2023-10-12 10:28:03,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
2598,OMERS,"100 Adelaide St W, Ste 900",Toronto,Ontario,M5H 0E2,416-369-2400,2019-08-23,omerspe.com,,2023-12-02 13:34:08,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
2802,Ontario Municipal Employees Retirement System,"200 Bay St, Ste 900",Toronto,Ontario,M5J 2J2,416-865-8300,2012-12-18,,,2023-10-12 10:28:27,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
3326,Revera Retirement Living,"5015 Spectrum Way, 6th Flr",Mississauga,Ontario,L4W 0E4,289-360-1200,2022-08-05,reveraliving.com,,2023-12-09 15:38:32,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
5943,Peaceful Meadows Retirement Residence,6124 Ana St,Brunner,Ontario,N0K 1C0,,2023-07-13,,,2023-10-12 10:30:44,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
6000,416 Somerset Street Inc,5 Escade Dr,Nepean,Ontario,K2G 6R9,,2023-05-09,,,2023-10-12 10:30:45,'2023-10-30 12:42:37'),pension_fund,pension_fund,0,0,0,0,0,0,1,0,0
