1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
88,Groupe Monaco,3455 Jarry East,Montreal,Quebec,H1Z 2G1,800-361-0578,2022-08-17,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
111,Forge &amp; Foster Partners Inc,29 Harriet St,Hamilton,Ontario,L8R 2E5,888-410-9440,2023-08-31,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
114,Forager Real Estate Partners,"52 Scarsdale Rd,",Toronto,Ontario,M3B 2R7,416-580-9700,2023-08-30,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
127,Petek LLP,3705 Lindsay Rd,,,USA - 98247,,2023-08-24,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
141,Thunder Bay Pulp and Paper Inc,2001 Neebing Ave,Thunder Bay,Ontario,P7E 6S3,,2023-08-01,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
147,Groupe Touchette Inc,9000 boul Saint-Laurent,Montreal,Quebec,H2N 1M7,514-381-1716,2022-12-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
424,Alpha Trans Ltd,105 East Dr,Brampton,Ontario,L6T 1B5,905-799-1525,2022-01-13,,,2023-10-12 10:25:21,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
428,LPI Mechanical Inc,,Brampton,Ontario,L6T 5G9,905-794-0755,2022-01-12,,,2023-10-12 10:25:21,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
518,Groupe AGF Inc,2270 rue Garneau,Longueuil,Ontario,J4G 1E7,,2022-07-13,,,2023-10-12 10:25:21,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
563,TRG (New-Guelph) Inc,130 King St W,Toronto,Ontario,M5X 1A9,,2022-06-28,,,2023-10-12 10:25:21,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
626,Axia Real Assets LP,"15 York St, 7th Flr",Toronto,Ontario,M5J 0A3,416-364-1145,2022-03-31,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
674,SBLP Peterborough Shopping Centre Inc,"2 Bloor St W, Ste 1001",,,M4W 3E2,,2022-03-11,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
709,Colborne Estate Company Ltd,177 Duncan Rd,,,L4C 6J5,,2022-03-01,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
830,Falcon Ridge Village LP,1284 Wellington St,Ottawa,Ontario,K1Y 3A9,,2023-05-23,,,2023-10-12 10:25:22,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
880,Milborne Real Estate Inc,385 Madison Ave,Toronto,Ontario,M4V 2W7,416-928-9998,2022-09-09,,,2023-10-12 10:25:23,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
882,ACLP 860 College Street Corp,"25 Watline Ave, Ste 501",,,L4Z 2Z1,,2022-09-09,,,2023-10-12 10:25:23,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
901,Les Placements Denis Latulippe Inc,"1730, Marie-victorin Blvd",Longueuil,Quebec,J4G 1A5,,2022-09-01,,,2023-10-12 10:25:23,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1120,Nachurs Alpine Solutions Inc,1356 Nafziger Rd,,,N3A 3G8,,2023-04-24,nachurs-alpine.com,,2023-12-02 13:28:44,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1343,Naagaaniiyang Limited Partnership (NLP),613 Main St,Lively,Ontario,P3Y 1N3,705-692-9347,2023-04-28,,,2023-10-12 10:27:18,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1360,Groupe Dumont,"1410 rue de Jaffa, Ste 301",Laval,Quebec,H7P 4K9,514-447-5166,2023-04-27,groupedumont.com,,2023-12-09 16:45:19,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1372,Carey Alphabet II Nominee Corp,"181 Bay St, Ste 4400",Toronto,Ontario,M5J 2T3,,2023-04-19,,,2023-10-12 10:27:18,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1472,Tribal Partners Inc,"2700 Steeles Ave W, Ste 201",Vaughan,Ontario,L4K 3C8,905-567-0808,2022-08-16,,,2023-10-12 10:27:21,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1593,Bianchi Presta LLP,"3rd Floor, Building A",Vaughan,Ontario,L4K 0A4,905-738-1078,2023-08-22,,,2023-10-12 10:27:28,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1762,Hagersville Landmark Limited Partnership,"1 Duncan Mill Rd, Ste GS1",Toronto,Ontario,M3B 1Z2,,2023-08-30,,,2023-10-12 10:27:29,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1784,RLB LLP,"197 Hanlon Creek Blvd, Ste 103",Guelph,Ontario,N1C 0A1,519-822-9933,2023-08-25,,,2023-10-12 10:27:30,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1848,Newmar Windows - Alpha Lumber Group,7630 Airport Rd,Mississauga,Ontario,L4T 4G6more info: mi.pdf,905-672-1233,2023-08-18,,,2023-10-12 10:27:33,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1949,Trillium Health Partners,100 Queensway W,Mississauga,Ontario,L5B 1B8,905-848-7100,2022-12-02,thp.ca,,2023-12-09 16:47:04,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
1989,Minden Gross LLP,"145 King St W, Ste 2200",Toronto,Ontario,M5H 1J9,416-362-3711,2022-02-10,mindengross.com,,2023-12-02 13:17:31,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2156,Pol Acres Partnership II,"5333 line 49, RR 2",,,N0K 1J0,,2023-02-03,,,2023-10-12 10:27:43,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2248,Lowe&#039;s-Rona / Sycamore Partners,220 chemin du Tremblay,Boucherville,QC,J4B 8H7,514-599-5900,2023-02-03,lowes.com,,2023-12-02 13:12:25,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2253,Groupe Touchette Inc,9000 boul Saint-Laurent,Montreal,Quebec,H2N 1M7,514-381-1716,2023-02-02,,,2023-10-12 10:27:49,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2274,Groupe Pacific,"5250 Ferrier St, Ste 806",Montreal,Quebec,H4P 1L4,514-739-4711,2009-12-17,groupepacific.com,,2023-12-09 16:45:22,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2323,Shiphope Ltd,"20 Eglinton Ave W, Ste 1600",Toronto,Ontario,M4R 2H1,416-487-3883,2007-03-30,shipshape.online,,2023-12-09 16:45:22,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2381,Canadian Partners Fund II Inc,"120 Adelaide St W, Ste 1700",Toronto,Ontario,M5H 1T1,,1997-10-15,,,2023-10-12 10:27:51,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2519,Feige Nawrocki LLP,,Toronto,Ontario,M5H 3P5,416-366-8833,2012-06-18,suttonplace.com,,2023-12-02 13:20:04,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2530,Aylesworth LLP,,Toronto,Ontario,M5K 1H1,416-777-0101,2010-11-30,,,2023-10-12 10:28:03,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
2810,Terminal 3 Limited Partnership,1170 Peel Street,Montreal,Quebec,H3B 4P2,,1997-05-05,,,2023-10-12 10:28:27,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3047,Inscape Corporation,67 Toll Rd,,,L9N 1H2,,2022-01-25,inscapesolutions.com,,2023-12-02 13:16:41,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3050,Groupe Leclerc,19 rue de Rotterdam,Saint-Augustin-de-Desmaures,Quebec,G3A 1T1,418-878-2601,2022-01-24,leclerc.ca,,2023-12-02 13:33:43,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3171,3119 Carp Road General Partnership,1963 Old Carp Rd,Carp,Ontario,K0A 1L0,613-839-7656,2022-07-14,,,2023-10-12 10:28:36,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3253,The Corporation of the City of Guelph,1 Carden St,Guelph,Ontario,N1H 3A1,519-822-1260,2022-01-28,,,2023-10-12 10:28:37,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3265,Moser Landscape Group,495 Dotzert Ct,Waterloo,Ontario,N2L 6A7,519-886-9231,2022-12-01,moserlandscapegroup.ca,,2023-12-02 13:18:35,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3266,The Guelph Curling Club Ltd,816 Woolwich St,Guelph,Ontario,N1H 6J2,519-822-6171,2022-11-30,,,2023-10-12 10:29:29,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3404,Northernsky Brighton Partners Ltd,2575 Woodhull Rd,London,Ontario,N6K 4S4,226-270-7847,2022-01-25,,,2023-10-12 10:29:30,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3496,Wm Sharpe Farms Ltd,"7707 Mill Rd, RR 4",Guelph,Ontario,N1H 6J1,,2022-03-22,sharpefarm.ca,,2023-12-09 16:47:23,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3964,Groupe Deschenes,"390 rue Jarry E, Bur 250",Montreal,Quebec,H1Z 2G1,514-253-3110,2022-03-31,,,2023-10-12 10:29:41,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
3983,Urbanscape Designs Ltd,85 Edwin St S,,,N2H 4N7,,2022-02-02,,,2023-10-12 10:29:41,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
4157,Activityplex Guelph Corp,"5160 Yonge St, Ste 1005",,,M2N 6L9,,2022-03-14,,,2023-10-12 10:29:46,'2023-10-30 12:42:37'),private_equity,private_equity,0,0,0,1,0,0,0,0,0
