1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),category_primary,category_all,is_builder,is_investment,is_reit,is_private_equity,is_asset_manager,is_family_office,is_pension_fund,is_insurance,is_lender
203,Reiter Nemetz,"298 Sheppard Ave W, Ste 100",Toronto,Ontario,M2N 1N5more info: mi.pdf,416-665-1458,2022-12-08,,,2023-10-12 10:25:20,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
327,CAPREIT Apartments Inc,"11 Church St, Ste 401",Toronto,Ontario,M5E 1W1,416-861-9404,2023-02-27,,,2023-10-12 10:25:21,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
381,Calloway REIT (Ottawa Laurentian) Inc,3200 Highway 7,Vaughan,Ontario,L4K 5Z5,905-326-6400,2022-01-24,callowayreit.com,,2023-12-02 13:33:34,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
543,Nobel REIT GP Inc,"1540 Cornwall Rd, Ste 211",Oakville,Ontario,L6J 7W5,416-613-1262,2023-07-04,nexusreit.com,,2023-12-02 13:13:36,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
567,SmartCentres REIT,3200 Highway 7,Vaughan,Ontario,L4K 5Z5,905-326-6400,2022-06-24,,,2023-10-12 10:25:21,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
704,Nexus Industrial REIT,"1540 Cornwall Rd, Ste 211",Oakville,Ontario,L6J 7W5,416-613-1262,2022-03-01,nexusreit.com,,2023-12-02 13:32:46,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
889,District REIT,"3410 South Service Rd, Ste 201",Burlington,Ontario,L7N 3T2,833-308-7348,2022-09-06,profunds.ca,,2023-12-09 16:46:24,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
899,Calloway REIT (Fox Hollow) Inc,3200 Highway 7,Vaughan,Ontario,L4K 5Z5,905-326-6400,2022-09-01,,,2023-10-12 10:25:23,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
949,BTB REIT,"1411 Crescent St, Ste 300",Montreal,Quebec,H3G 2B3,514-286-0188,2022-04-05,btbreit.com,,2023-12-02 13:16:41,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
1454,True North Commercial REIT,3280 Bloor St W,Toronto,Ontario,M8X 2X3,416-234-8444,2022-08-22,,,2023-10-12 10:27:21,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2102,Summit Industrial Income REIT,,Dartmouth,Nova Scotia,B3B 0L9,905-791-1181,2023-02-17,summitiireit.com,,2023-12-02 13:12:13,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2257,Plaza Retail REIT,,Fredericton,NB,E3A 9N6,506-451-1826,2023-02-01,,,2023-10-12 10:27:49,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2261,Artis REIT,"360 Main St, Ste 300",Winnipeg,Manitoba,R3C 4G1,204-947-1250,2010-12-01,,,2023-10-12 10:27:50,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2324,Calloway REIT (Hopedale) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,905-326-6400,2007-03-30,callowayreit.com,,2023-12-09 16:46:19,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2326,Hines REIT 595 Bay ULC,"2800 Post Oak Blvd, Ste 5000",Houston,Texas,USA - 77056-6118,,2007-02-27,,,2023-10-12 10:27:51,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2406,Calloway REIT (Hamilton Mountain) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L4K 5X3,,2011-08-17,callowayreit.com,,2023-12-02 13:27:04,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2408,Whiterock REIT,"410 The West Mall, Ste 1000",Toronto,Ontario,M9C 5J5,416-351-7878,2011-07-21,,,2023-10-12 10:28:01,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2414,CREIT ,175 Bloor St E,Toronto,Onario,M4W 3R8,416-628-7798,2011-06-15,,,2023-10-12 10:28:01,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2415,Hines REIT 595 Bay ULC,"2800 Post Oak Blvd, Suite 5000",Houston,Texas,USA - 77056-6118,,2011-06-01,,,2023-10-12 10:28:01,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2431,H&amp;R REIT,"3625 Dufferin St, Ste 500",Toronto,Ontario,M3K 1N4,416-635-7520,2008-12-05,hr-reit.com,,2023-12-02 13:13:38,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2443,Calloway REIT (Westgate) Inc,"700 Applewood Cres, Ste 200",Vaughan,Ontario,L5K 5X3,,2006-07-28,,,2023-10-12 10:28:02,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2445,Calloway REIT (South Keys) Inc,"855 Eighth Ave SW, Ste 310",Calgary,Alberta,T2P 3P1,403-266-6442,2005-07-11,callowayreit.com,,2023-12-02 13:27:05,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2480,InterRent REIT,"485 Bank St, Ste 207",Ottawa,Ontario,K2P 1Z2,613-569-5699,2016-05-04,,,2023-10-12 10:28:03,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2571,RioCan REIT,"2300 Yonge St, Ste 500",Toronto,Ontario,M4P 1E4,800-465-2733,2021-06-11,riocan.com,,2023-12-09 16:46:10,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2580,Summit REIT,"75 Summerlea Rd, Unit B",Brampton,Ontario,L6T 4V2,905-791-1181,2021-01-18,summitiireit.com,,2023-12-09 16:45:46,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2697,InnVest REIT,"200 Bay St, Ste 3205",Toronto,Ontario,M5J 2J1,416-607-7100,2016-02-01,,,2023-10-12 10:28:17,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2740,Cominar REIT,"2820 boul Laurier, Bureau 850",Quebec,QC,G1V 0C1,418-681-8151,2018-03-27,,,2023-10-12 10:28:18,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2744,Pure Industrial Real Estate Trust,"121 King St W, Ste 2100",Toronto,Ontario,M5H 3T9,416-479-8590,2017-08-18,,,2023-10-12 10:28:18,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2884,InterRent REIT,"485 Bank St, Ste 207",Ottawa,Ontario,K2P 1Z2,613-569-5699,2020-09-21,,,2023-10-12 10:28:30,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
2891,Slate Office REIT,"121 King St W, Ste 200",Toronto,Ontario,M5H 3T9,416-644-4264,2020-01-22,slateam.com,,2023-12-09 16:45:24,'2023-10-30 12:42:37'),reit,reit,0,0,1,0,0,0,0,0,0
