1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
17,Crowley Farms Norwood Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
28,Farm Credit Canada,fcc-fac.ca,,2023-12-02 13:34:38,'2023-10-30 12:43:01'),Other,commercial|agricultural,0,0,1
211,Romandale Farms Ltd,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
240,Robbins Farms Ltd,,,2023-10-13 11:00:18,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
293,Maplebrae Farm Inc,,,2023-10-13 11:00:26,'2023-10-30 12:43:01'),Other,agricultural,0,0,0
337,De Vries Family Farms Ltd,,,2023-10-13 11:00:33,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
338,Windy Stream Farms Inc,,,2023-10-13 11:00:33,'2023-10-30 12:43:01'),Other,agricultural,0,0,0
343,Donker View Farms Inc,,,2023-10-13 11:00:34,'2023-10-30 12:43:01'),Other,agricultural,0,0,0
371,Jedburgh Farms Ltd,,,2023-10-13 11:00:36,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
541,E &amp; J Horvath Farms Ltd,,,2023-10-13 11:02:48,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
547,E 3 Farms Ltd,,,2023-10-13 11:02:48,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
633,Treeola Farms Ltd,,,2023-10-13 11:02:59,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
721,Millar Berry Farms Inc,,,2023-10-13 11:12:13,'2023-10-30 12:43:01'),Other,agricultural,0,0,0
764,Garson Farms Ltd,,,2023-10-13 11:13:46,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
776,Forbestfarm Inc,,,2023-10-13 11:13:49,'2023-10-30 12:43:01'),Other,agricultural,0,0,0
1008,Munshaw Farms Ltd,,,2023-10-13 11:15:27,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
1046,Glendra Farms Ltd,,,2023-10-13 11:15:34,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
1270,Erlhaven Farms Ltd,,,2023-10-13 11:17:40,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
1295,Robintide Farms Ltd,,,2023-10-13 11:18:20,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
1302,Skipwell Farms Inc,,,2023-10-13 11:18:22,'2023-10-30 12:43:01'),Other,agricultural,0,0,0
1312,Vinea Farm Ltd,,,2023-10-13 11:18:24,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
