1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
2,Computershare Trust Company of Canada,computershare.com,,2023-12-02 13:34:37,'2023-10-30 12:43:01'),Trust Company,general,0,0,0
3,Dorham Holdings Inc,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
4,Peakhill Capital Inc,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
5,Canadian Imperial Bank of Commerce,cibc.com,,2023-12-02 13:34:36,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
6,"Wells Fargo Bank NA, Canadian Branch",,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
7,Named Individual(s),,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Private Individual,general,0,0,0
8,The Bank of Nova Scotia,scotiabank.com,,2023-12-02 13:34:37,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
9,Embee Properties Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
10,Wasaga Dunes Resorts Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,general,0,0,0
11,Northwest Stratford (2016) Developments Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Development Company,general,0,0,0
12,2036353 Ontario Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,general,0,0,0
13,Waterdown Bay Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
14,Cameron Stephens Mortgage Capital Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,residential,0,0,0
15,1599825 Ontario Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
16,Mac&#039;s Convenience Store Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,general,0,0,0
17,Crowley Farms Norwood Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,agricultural,0,0,0
18,The Lora Bay Cor,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,general,0,0,0
19,Business Development Bank of Canada,bdc.ca,,2023-12-02 13:34:38,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
20,Borani Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,general,0,0,0
21,Christian Stewardship Service,csservices.ca,,2023-12-02 13:34:38,'2023-10-30 12:43:01'),Other,general,0,0,0
22,The Toronto-Dominion Bank,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
23,Canadian Mortgage Servicing Cor,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,residential,0,0,0
24,National Bank of Canada,nbc.ca,,2023-12-02 13:34:42,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
25,2648607 Ontario Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,general,0,0,0
26,161 Athol Street GP Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
27,Latitude Mortgage Services Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,residential,0,0,0
28,Farm Credit Canada,fcc-fac.ca,,2023-12-02 13:34:38,'2023-10-30 12:43:01'),Other,commercial|agricultural,0,0,1
29,Meridian Credit Union Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
30,InterRent International Properties Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Development Company,general,0,0,0
31,Equiton Real Estate Financial GP Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Credit Union,general,0,0,0
32,Equiton Partners Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
33,1705 Weston Road Holdings Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
34,Black Creek Comprop Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,commercial,0,0,1
35,Petek LLP,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
36,Roynat Inc,roynat.com,,2023-12-02 13:34:38,'2023-10-30 12:43:01'),Other,general,0,0,0
37,GB (Mayfield) Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
38,Brooklin Garrard Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
39,WBTC Roselawn Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
40,Roselawn and Main Urban Properties Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Development Company,general,0,0,0
41,Terma Holdings Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
42,Canada Mortgage and Housing Cor,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,residential,0,0,0
43,KingSett Mortgage Cor,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,residential,0,0,0
44,JJ&#039;S Hospitality Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,hospitality,0,0,0
45,Ken Beattie Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
46,Westdale Construction Co Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
47,Bank of Montreal,bmo.com,,2023-12-02 13:34:31,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
48,9695443 Canada Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
49,The Toronto-Dominion Bank of Canada,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,general,0,0,0
50,Windsor Family Credit Union Ltd,windsorfamily.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
51,Business EQ BV,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
52,Otera Capital Inc,oteracapital.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01'),Private Lender,general,0,0,0
53,A&amp;W Green Houses Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,general,0,0,0
