1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
28,Farm Credit Canada,fcc-fac.ca,,2023-12-02 13:34:38,'2023-10-30 12:43:01'),Other,commercial|agricultural,0,0,1
29,Meridian Credit Union Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
34,Black Creek Comprop Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,commercial,0,0,1
50,Windsor Family Credit Union Ltd,windsorfamily.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
85,Timbercreek MR V (Europe) GP Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,commercial,0,0,1
87,Timbercreek Canadian Multi-Residential V GP Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,commercial|residential,0,0,1
103,Cambrian Credit Union Ltd,cambrian.mb.ca,,2023-12-02 13:34:40,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
108,Redcreek Developments Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Development Company,commercial,0,0,1
126,Alterna Savings and Credit Union Ltd,alterna.ca,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
137,Industrial and Commercial Bank of China,icbc.com.cn,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Major Bank,commercial|industrial,0,0,1
138,Duca Financial Services Credit Union Ltd,duca.com,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
156,Coast Capital Savings Federal Credit Unio,coastcapitalsavings.com,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Private Lender,commercial,0,0,1
165,Your Neighbourhood Credit Union Ltd,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
174,Caisse Desjardins Ontario Credit Union Inc,,,2023-10-13 11:00:14,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
228,Tandia Financial Credit Union Ltd,tandia.com,,2023-12-02 13:34:33,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
256,Kindred Credit Union Ltd,,,2023-10-13 11:00:22,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
257,Ukrainian Credit Union Ltd,ukrainiancu.com,,2023-12-02 13:34:33,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
262,Libro Credit Union Ltd,,,2023-10-13 11:00:23,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
282,Motor City Community Credit Union Ltd,mcccu.com,,2023-12-02 13:34:34,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
300,FirstOntario Credit Union Ltd,ontario.coop,,2023-12-02 13:34:34,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
335,Mainstreet Credit Union Ltd,mainstreetcu.org,,2023-12-02 13:34:34,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
348,PenFinancial Credit Union Ltd,penfinancial.com,,2023-12-02 13:34:34,'2023-10-30 12:43:01'),Major Bank,commercial,0,0,1
386,Wilmot Creek Developments Inc,,,2023-10-13 11:00:38,'2023-10-30 12:43:01'),Development Company,commercial,0,0,1
