1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
46,Westdale Construction Co Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
114,Gavia Construction Ltd,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
530,BCIMC Construction Fund Cor,,,2023-10-13 11:02:45,'2023-10-30 12:43:01'),Other,construction,0,1,0
581,Lonsmount Construction Ltd,,,2023-10-13 11:02:49,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
624,Santacarmel Construction Ltd,,,2023-10-13 11:02:58,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
631,Ben-Ted Construction Ltd,,,2023-10-13 11:02:59,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
864,Dan Fortier Construction Ltd,,,2023-10-13 11:14:14,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
1040,Hallman Construction Ltd,,,2023-10-13 11:15:33,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
1060,Terden Construction Inc,,,2023-10-13 11:15:36,'2023-10-30 12:43:01'),Other,construction,0,1,0
1085,Bravo Construction Ltd,,,2023-10-13 11:15:47,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
1351,Hatherell Construction Ltd,,,2023-10-21 20:00:56,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
1381,cIMC Construction Fund Cor,,,2023-10-21 22:05:18,'2023-10-30 12:43:01'),Other,construction,0,1,0
1451,Rego Developments &amp; Construction Ltd,,,2023-10-23 20:28:02,'2023-10-30 12:43:01'),Major Bank,construction,0,1,0
1883,Udvari Investments &amp; Construction and 11 other,,,2023-11-01 16:28:56,'2023-11-01 16:28:56'),Other,construction,0,1,0
1985,West Rose Construction Ltd,,,2023-11-02 18:15:35,'2023-11-02 18:15:35'),Major Bank,construction,0,1,0
2069,Stan Davies &amp; Son Construction Ltd,,,2023-11-04 16:35:56,'2023-11-04 16:35:56'),Major Bank,construction,0,1,0
2190,Caran Construction Ltd,,,2023-11-06 12:07:06,'2023-11-06 12:07:06'),Major Bank,construction,0,1,0
2366,Oswald Construction Inc &amp; 7 other,,,2023-11-07 11:35:49,'2023-11-07 11:35:49'),Other,construction,0,1,0
2387,Kemco Engineering &amp; Construction Ltd,,,2023-11-07 11:35:53,'2023-11-07 11:35:53'),Major Bank,construction,0,1,0
2433,TT &amp; H Montgomery Construction (Niagara) Ltd,,,2023-11-07 15:13:03,'2023-11-07 15:13:03'),Major Bank,construction,0,1,0
2561,Coreplan Construction Inc and 7 other,,,2023-11-12 19:41:26,'2023-11-12 19:41:26'),Other,construction,0,1,0
2572,Mattwood Construction Ltd,,,2023-11-12 19:41:30,'2023-11-12 19:41:30'),Major Bank,construction,0,1,0
2761,Eastcote Construction Co Ltd,,,2023-11-14 19:35:35,'2023-11-14 19:35:35'),Major Bank,construction,0,1,0
2799,L Regina Construction Ltd,,,2023-11-14 19:35:55,'2023-11-14 19:35:55'),Major Bank,construction,0,1,0
2840,Napev Construction Ltd,,,2023-11-17 16:40:41,'2023-11-17 16:40:41'),Major Bank,construction,0,1,0
2863,Dilvar Construction Ltd,,,2023-11-17 16:40:53,'2023-11-17 16:40:53'),Major Bank,construction,0,1,0
2951,J Blackburn Construction Ltd,,,2023-11-17 16:41:31,'2023-11-17 16:41:31'),Major Bank,construction,0,1,0
3156,BW Wilson Construction Ltd,,,2023-11-25 11:20:31,'2023-11-25 11:20:31'),Major Bank,construction,0,1,0
3461,EMK Construction Ltd,,,2023-11-28 14:57:54,'2023-11-28 14:57:54'),Major Bank,construction,0,1,0
3466,Joseph Sipocz Construction Ltd,,,2023-11-28 14:57:55,'2023-11-28 14:57:55'),Major Bank,construction,0,1,0
