1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
44,JJ&#039;S Hospitality Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Major Bank,hospitality,0,0,0
119,Ekasa Hospitality Inc,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
281,Innovative Industries Cor,,,2023-10-13 11:00:25,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
596,Blue Tree Hotels Investmnet (Canada) Ltd,,,2023-10-13 11:02:53,'2023-10-30 12:43:01'),Major Bank,hospitality,0,0,0
949,Angus Motel Inc,,,2023-10-13 11:15:00,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
1155,InnVest Nominee VIII Ltd,,,2023-10-13 11:16:44,'2023-10-30 12:43:01'),Major Bank,hospitality,0,0,0
1340,Herongate Barn Dinner Theatre Ltd,,,2023-10-13 11:18:32,'2023-10-30 12:43:01'),Major Bank,hospitality,0,0,0
1504,Mam Chestnut Park Hotel Lender LLC,,,2023-10-24 14:27:35,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
1505,Liverton Hotels International Inc,,,2023-10-24 14:27:35,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
1538,5050 Innovation Inc,,,2023-10-24 14:28:20,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
1587,Innovative Trailer Design Industries Inc,,,2023-10-24 14:29:08,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
1611,Return on Innovation Capital Ltd,,,2023-10-24 14:30:27,'2023-10-30 12:43:01'),Major Bank,hospitality,0,0,0
1655,Four Seasons Hotels Ltd,,,2023-10-26 13:31:10,'2023-10-30 12:43:01'),Major Bank,hospitality,0,0,0
1670,Avion Motel Ltd,,,2023-10-26 13:31:38,'2023-10-30 12:43:01'),Major Bank,hospitality,0,0,0
1800,Calloway REIT (Innisfil) Inc,,,2023-10-27 15:32:03,'2023-10-30 12:43:01'),Other,hospitality,0,0,0
1970,W &amp; K McGinn Holdings Inc,,,2023-11-02 18:15:28,'2023-11-02 18:15:28'),Private Lender,hospitality,0,0,0
2306,4000 Innovation Inc,,,2023-11-06 12:07:39,'2023-11-06 12:07:39'),Other,hospitality,0,0,0
2425,Princeton Hospitality &amp; Leisure (Ontario) Ltd,,,2023-11-07 11:36:04,'2023-11-07 11:36:04'),Major Bank,hospitality,0,0,0
2654,Moodies Motel Ltd,,,2023-11-14 19:34:59,'2023-11-14 19:34:59'),Major Bank,hospitality,0,0,0
2792,Green Leaf Financial Innovation Ltd,,,2023-11-14 19:35:50,'2023-11-14 19:35:50'),Major Bank,hospitality,0,0,0
3011,Di Poce (Innisfil) Inc,,,2023-11-24 21:40:19,'2023-11-24 21:40:19'),Other,hospitality,0,0,0
3202,Navroz Hospitality Services Inc,,,2023-11-27 10:48:43,'2023-11-27 10:48:43'),Other,hospitality,0,0,0
3315,Rick Rickey Ricardo Hospitality Ltd,,,2023-11-27 10:49:20,'2023-11-27 10:49:20'),Major Bank,hospitality,0,0,0
3585,Super 7 Motel Inc,,,2023-11-30 12:57:12,'2023-11-30 12:57:12'),Other,hospitality,0,0,0
3618,Silver Hotel (Ambler) Inc,,,2023-11-30 12:57:16,'2023-11-30 12:57:16'),Other,hospitality,0,0,0
3636,Kingfisher Hotels Inc,,,2023-11-30 12:57:18,'2023-11-30 12:57:18'),Other,hospitality,0,0,0
3637,Springfield Hotel,,,2023-11-30 12:57:18,'2023-11-30 12:57:18'),Other,hospitality,0,0,0
3644,Alfa Hoteliers Inc,,,2023-11-30 12:57:19,'2023-11-30 12:57:19'),Other,hospitality,0,0,0
3645,Millcroft Hospitality Services Inc,,,2023-11-30 12:57:19,'2023-11-30 12:57:19'),Other,hospitality,0,0,0
3647,Family Inns (Ontario) Ltd,,,2023-11-30 12:57:19,'2023-11-30 12:57:19'),Major Bank,hospitality,0,0,0
3650,Sword Cobourg Motor Inns Inc,,,2023-11-30 12:57:21,'2023-11-30 12:57:21'),Other,hospitality,0,0,0
3656,Flamingo Motor Inn (Niagara Falls) Inc,,,2023-11-30 12:57:22,'2023-11-30 12:57:22'),Other,hospitality,0,0,0
3659,Siljub Hospitality Inc,,,2023-11-30 12:57:24,'2023-11-30 12:57:24'),Other,hospitality,0,0,0
3662,Wellington Road Hotel Cor,,,2023-11-30 12:57:24,'2023-11-30 12:57:24'),Other,hospitality,0,0,0
3668,Pal Hospitality Inc,,,2023-11-30 12:57:26,'2023-11-30 12:57:26'),Other,hospitality,0,0,0
3671,Waterfront Inn (Sault) Ltd,,,2023-11-30 12:57:26,'2023-11-30 12:57:26'),Major Bank,hospitality,0,0,0
3673,Orangeville Motel Ltd,,,2023-11-30 12:57:27,'2023-11-30 12:57:27'),Major Bank,hospitality,0,0,0
3699,Peterborough 8 Motel Ltd,,,2023-11-30 12:57:30,'2023-11-30 12:57:30'),Major Bank,hospitality,0,0,0
3718,Lin-John Inns Ltd,,,2023-11-30 12:57:34,'2023-11-30 12:57:34'),Major Bank,hospitality,0,0,0
3732,Midland 8 Motel Ltd,,,2023-11-30 12:57:38,'2023-11-30 12:57:38'),Major Bank,land|hospitality,1,0,0
3745,Shan Motel Company Inc,,,2023-11-30 12:57:41,'2023-11-30 12:57:41'),Other,hospitality,0,0,0
3751,Raja Sahib Hotel Inc,,,2023-11-30 12:57:43,'2023-11-30 12:57:43'),Other,hospitality,0,0,0
