1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
137,Industrial and Commercial Bank of China,icbc.com.cn,,2023-12-02 13:34:41,'2023-10-30 12:43:01'),Major Bank,commercial|industrial,0,0,1
393,Hi-Line Manufacturing Co Ltd,,,2023-10-13 11:00:39,'2023-10-30 12:43:01'),Major Bank,industrial,0,0,0
441,Industrial Alliance Insurance and Financial Services Inc,,,2023-10-13 11:00:52,'2023-10-30 12:43:01'),Credit Union,industrial,0,0,0
799,JM Bowman Manufacturing Inc,,,2023-10-13 11:13:58,'2023-10-30 12:43:01'),Other,industrial,0,0,0
1320,OPTrust Industrial Portfolio Investments Inc,,,2023-10-13 11:18:26,'2023-10-30 12:43:01'),Trust Company,industrial,0,0,0
1397,Summit Industrial Income Cor,,,2023-10-23 20:25:55,'2023-10-30 12:43:01'),Other,industrial,0,0,0
1401,Menkes Milton Industrial Inc,menkes.com,,2023-12-02 13:41:58,'2023-10-30 12:43:01'),Other,industrial,0,0,0
1496,First Gulf Industrial Developments Inc,,,2023-10-24 14:27:34,'2023-10-30 12:43:01'),Development Company,industrial,0,0,0
1547,Menkes GTA Industrial Holdings Inc,,,2023-10-24 14:28:21,'2023-10-30 12:43:01'),Private Lender,industrial,0,0,0
1808,Industrial Alliance Insurance and Financial Service,,,2023-10-27 15:33:35,'2023-10-30 12:43:01'),Credit Union,industrial,0,0,0
1864,Industrial and Commercial Bank of China (Canada),,,2023-10-29 16:57:18,'2023-10-30 12:43:01'),Major Bank,commercial|industrial,0,0,1
2701,Industrial Heat Treating Ltd,indht.com,,2023-12-02 14:02:20,'2023-11-14 19:35:16'),Major Bank,industrial,0,0,0
3023,Industrial Cast Stone Ltd,,,2023-11-24 21:40:25,'2023-11-24 21:40:25'),Major Bank,industrial,0,0,0
3296,AVL Manufacturing Inc,,,2023-11-27 10:49:13,'2023-11-27 10:49:13'),Other,industrial,0,0,0
3904,Mapleview Industrial Park Ltd,,,2023-12-03 16:44:39,'2023-12-03 16:44:39'),Major Bank,industrial,0,0,0
4438,Echo Industrial Centre Ltd,,,2024-01-23 16:25:53,'2024-01-23 16:25:53'),Major Bank,industrial,0,0,0
4486,Industrial 5000 Real Estate Investments Inc,,,2024-01-23 16:26:13,'2024-01-23 16:26:13'),Other,industrial,0,0,0
4607,Niagara Industrial Mall Ltd,,,2024-04-16 02:21:00,'2024-04-16 02:21:00'),Major Bank,industrial,0,0,0
