1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
91,Wykland Estates Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,land,1,0,0
93,"Landesbank Baden-Wurttemberg, New York Branch",lbbw.de,,2023-12-02 13:34:40,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
141,Sun Valley (Danforth Rd) Land Inc,,,2023-10-13 11:00:13,'2023-10-30 12:43:01'),Other,land,1,0,0
210,Hanna&#039;s Landing Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Other,land,1,0,0
363,Woodland Country Estates Inc,,,2023-10-13 11:00:35,'2023-10-30 12:43:01'),Other,land,1,0,0
392,Elkranch Land Cor,,,2023-10-13 11:00:39,'2023-10-30 12:43:01'),Other,land,1,0,0
438,GCBB Land Holdings Ltd,,,2023-10-13 11:00:48,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
513,Homestead Land Holdings Ltd,,,2023-10-13 11:02:44,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
586,Allandale Veterinary Centre Ltd,,,2023-10-13 11:02:50,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
588,Allandale Veterinary Services Ltd,,,2023-10-13 11:02:50,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
623,Westminister Highlands Inc,,,2023-10-13 11:02:58,'2023-10-30 12:43:01'),Other,land,1,0,0
827,Honeycut Land Inc,,,2023-10-13 11:14:06,'2023-10-30 12:43:01'),Other,land,1,0,0
841,Base-Land Developments Inc,,,2023-10-13 11:14:11,'2023-10-30 12:43:01'),Development Company,land,1,0,0
889,Angelston Land Holdings Inc,,,2023-10-13 11:14:24,'2023-10-30 12:43:01'),Private Lender,land,1,0,0
894,Taggart Land Holdings (Group 1) Ltd,,,2023-10-13 11:14:25,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
906,Canada Lands Company CLC Ltd,clc.com,,2023-12-02 13:34:42,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
992,Bridge St Lands Inc,,,2023-10-13 11:15:17,'2023-10-30 12:43:01'),Other,land,1,0,0
1090,Ontario Infrastructure and Lands Corporatio,infrastructureontario.ca,,2023-12-02 13:34:31,'2023-10-30 12:43:01'),Other,land,1,0,0
1107,Jerland Realty Ltd,,,2023-10-13 11:16:17,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
1131,Sunland Landscape Inc,,,2023-10-13 11:16:29,'2023-10-30 12:43:01'),Other,land,1,0,0
1216,Birdland Developments Ltd,,,2023-10-13 11:16:57,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
1222,Heino Land Holdings Ltd,,,2023-10-13 11:16:58,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
1342,Bro-Ham Properties (Parcel 2) Inc,,,2023-10-13 11:18:32,'2023-10-30 12:43:01'),Development Company,land,1,0,0
1507,John Henry Smith Land Inc,,,2023-10-24 14:27:57,'2023-10-30 12:43:01'),Other,land,1,0,0
1527,KCAP Midland Inc,,,2023-10-24 14:27:59,'2023-10-30 12:43:01'),Other,land,1,0,0
1576,Brayford Land Holdings Inc,,,2023-10-24 14:28:42,'2023-10-30 12:43:01'),Private Lender,land,1,0,0
1581,Ron-Grand Land Ltd,,,2023-10-24 14:29:06,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
1699,Highland Communities Ltd,,,2023-10-26 19:27:23,'2023-10-30 12:43:01'),Major Bank,land,1,0,0
1741,Jed Landco Inc,,,2023-10-26 19:28:10,'2023-10-30 12:43:01'),Other,land,1,0,0
1857,Calloway REIT (Welland) Inc,,,2023-10-29 16:56:30,'2023-10-30 12:43:01'),Other,land,1,0,0
2005,Medical Arts Building (Welland) Ltd,,,2023-11-02 18:15:43,'2023-11-02 18:15:43'),Major Bank,land,1,0,0
2085,San Padre Island Resorts Inc in Trust,,,2023-11-04 16:35:59,'2023-11-04 16:35:59'),Trust Company,land,1,0,0
2311,Landlink Inc,,,2023-11-06 12:07:40,'2023-11-06 12:07:40'),Other,land,1,0,0
2484,Kierland 675 Veterans Dr Ltd,,,2023-11-10 12:57:31,'2023-11-10 12:57:31'),Major Bank,land,1,0,0
2551,Huntsville Highlands (Muskoka) Inc,,,2023-11-12 19:41:22,'2023-11-12 19:41:22'),Other,land,1,0,0
2618,SS Welland Inc,,,2023-11-12 19:41:44,'2023-11-12 19:41:44'),Other,land,1,0,0
2651,Jenland Properties Ltd,,,2023-11-14 19:34:57,'2023-11-14 19:34:57'),Major Bank,land,1,0,0
2770,Landmark Management Inc,,,2023-11-14 19:35:38,'2023-11-14 19:35:38'),Other,land,1,0,0
2773,B Butera Land Holdings Ltd,,,2023-11-14 19:35:40,'2023-11-14 19:35:40'),Major Bank,land,1,0,0
2830,San Padre Island Resorts Inc,,,2023-11-17 16:40:39,'2023-11-17 16:40:39'),Other,land,1,0,0
