1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),lender_type,asset_specializations,is_land_lender,is_construction_lender,is_commercial_lender
14,Cameron Stephens Mortgage Capital Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Major Bank,residential,0,0,0
23,Canadian Mortgage Servicing Cor,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,residential,0,0,0
27,Latitude Mortgage Services Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),Other,residential,0,0,0
42,Canada Mortgage and Housing Cor,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,residential,0,0,0
43,KingSett Mortgage Cor,,,2023-10-13 11:00:08,'2023-10-30 12:43:01'),Other,residential,0,0,0
86,Timberdreek Canadian Multi-Residential V GP Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,residential,0,0,0
87,Timbercreek Canadian Multi-Residential V GP Inc,,,2023-10-13 11:00:10,'2023-10-30 12:43:01'),Other,commercial|residential,0,0,1
110,Scotia Mortgage Cor,,,2023-10-13 11:00:11,'2023-10-30 12:43:01'),Other,residential,0,0,0
124,Hazelview Canadian Multi-Residential V GP Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Other,residential,0,0,0
133,BCMP Mortgage Investment Cor,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
140,Institutional Mortgage Capital Canada Inc,,,2023-10-13 11:00:12,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
192,Foremost Mortgage Holding Cor,,,2023-10-13 11:00:15,'2023-10-30 12:43:01'),Other,residential,0,0,0
199,C &amp; K Mortgage Services Inc,,,2023-10-13 11:00:16,'2023-10-30 12:43:01'),Other,residential,0,0,0
277,Corwin Mortgage Holding Cor,,,2023-10-13 11:00:25,'2023-10-30 12:43:01'),Other,residential,0,0,0
278,Morrison Financial Mortgage Cor,morrisonfinancial.com,,2023-12-02 13:34:34,'2023-10-30 12:43:01'),Credit Union,residential,0,0,0
286,Firm Capital Mortgage Fund Inc,firmcapital.com,,2023-12-02 13:34:34,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
350,RCMF Mortgage Investments Inc,,,2023-10-13 11:00:35,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
366,Fiirm Capital Mortgage Fund Inc,,,2023-10-13 11:00:35,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
395,RioCan Mortgage Cor,,,2023-10-13 11:00:40,'2023-10-30 12:43:01'),Other,residential,0,0,0
413,Prudent Excellence Mortgage Investment Cor,,,2023-10-13 11:00:44,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
435,Centurion Mortgage Capital Cor,,,2023-10-13 11:00:48,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
450,CDPQ Mortgage Cor,,,2023-10-13 11:00:53,'2023-10-30 12:43:01'),Other,residential,0,0,0
458,Owemanco Mortgage Holding Cor,,,2023-10-13 11:00:54,'2023-10-30 12:43:01'),Other,residential,0,0,0
482,TCC Mortgage Holdings Inc,,,2023-10-13 11:00:56,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
495,"GMAC Commercial Mortgage of Canada, Ltd",,,2023-10-13 11:00:58,'2023-10-30 12:43:01'),Major Bank,commercial|residential,0,0,1
499,CIBC Mortgages Inc,,,2023-10-13 11:00:58,'2023-10-30 12:43:01'),Major Bank,residential,0,0,0
507,FCC Mortgage Associates Inc,,,2023-10-13 11:00:58,'2023-10-30 12:43:01'),Other,residential,0,0,0
529,Firm Capital Mortgage Cor,,,2023-10-13 11:02:45,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
566,CDPQ Mortgage Investment Cor,,,2023-10-13 11:02:49,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
600,Alleghe Mortgage Fund Ltd,,,2023-10-13 11:02:54,'2023-10-30 12:43:01'),Major Bank,residential,0,0,0
607,ING Mortgage Broker Services Inc,,,2023-10-13 11:02:55,'2023-10-30 12:43:01'),Other,residential,0,0,0
625,Genesis Mortgage Investment Cor,,,2023-10-13 11:02:58,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
655,SLC Management Canadian Commercial Mortgage Fund,,,2023-10-13 11:12:00,'2023-10-30 12:43:01'),Other,commercial|residential,0,0,1
697,Timbercreek Canadian Multi-Residential V GP,,,2023-10-13 11:12:10,'2023-10-30 12:43:01'),Other,commercial|residential,0,0,1
703,Telb Mortgage Holding Cor,,,2023-10-13 11:12:11,'2023-10-30 12:43:01'),Other,residential,0,0,0
707,Atrium Mortgage Investment Cor,,,2023-10-13 11:12:12,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
712,Corwin Mortgage Holdings Cor,,,2023-10-13 11:12:12,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
726,Cosman Mortgage Holdings Cor,,,2023-10-13 11:12:14,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
739,Wadsworth Mortgage Capital Cor,,,2023-10-13 11:12:17,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
753,AFC Mortgage Administration Inc,,,2023-10-13 11:12:18,'2023-10-30 12:43:01'),Other,residential,0,0,0
786,DX Financial Mortgage Investment Cor,,,2023-10-13 11:13:54,'2023-10-30 12:43:01'),Credit Union,residential,0,0,0
811,Terrapin Mortgage Investment Cor,,,2023-10-13 11:13:59,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
834,Forgestone Mortgage Fund GP Inc,,,2023-10-13 11:14:08,'2023-10-30 12:43:01'),Other,residential,0,0,0
847,Ivest Equity Mortgage Investment Cor,,,2023-10-13 11:14:12,'2023-10-30 12:43:01'),Private Lender,residential,0,0,0
853,Elle Mortgage Cor,,,2023-10-13 11:14:12,'2023-10-30 12:43:01'),Other,residential,0,0,0
854,Sub-Prime Mortgage Cor,,,2023-10-13 11:14:12,'2023-10-30 12:43:01'),Other,residential,0,0,0
863,Ottawa-Carleton Mortgage Inc,,,2023-10-13 11:14:14,'2023-10-30 12:43:01'),Other,residential,0,0,0
