id,name,domain,linkedin,updated,added,ql_google,ql_contact_page,ql_linkedin,ql_linkedin_president,ql_facebook,ql_instagram,ql_twitter,ql_website,ql_markdown,ql_html
2,Computershare Trust Company of Canada,computershare.com,,2023-12-02 13:34:37,'2023-10-30 12:43:01'),https://www.google.com/search?q=Computershare+Trust+Company+of+Canada,https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+contact,https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+linkedin,https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+President+OR+CEO+linkedin,https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+facebook,https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+instagram,https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Computershare Trust Company of Canada**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Computershare+Trust+Company+of+Canada)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Computershare Trust Company of Canada</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Computershare+Trust+Company+of+Canada' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Computershare+Trust+Company+of+Canada+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
3,Dorham Holdings Inc,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),https://www.google.com/search?q=Dorham+Holdings+Inc,https://www.google.com/search?q=Dorham+Holdings+Inc+contact,https://www.google.com/search?q=Dorham+Holdings+Inc+linkedin,https://www.google.com/search?q=Dorham+Holdings+Inc+President+OR+CEO+linkedin,https://www.google.com/search?q=Dorham+Holdings+Inc+facebook,https://www.google.com/search?q=Dorham+Holdings+Inc+instagram,https://www.google.com/search?q=Dorham+Holdings+Inc+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Dorham Holdings Inc**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Dorham+Holdings+Inc)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Dorham+Holdings+Inc+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Dorham+Holdings+Inc+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Dorham+Holdings+Inc+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Dorham+Holdings+Inc+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Dorham+Holdings+Inc+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Dorham+Holdings+Inc+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Dorham Holdings Inc</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Dorham+Holdings+Inc' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Dorham+Holdings+Inc+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Dorham+Holdings+Inc+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Dorham+Holdings+Inc+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Dorham+Holdings+Inc+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Dorham+Holdings+Inc+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Dorham+Holdings+Inc+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
4,Peakhill Capital Inc,,,2023-10-13 11:00:06,'2023-10-30 12:43:01'),https://www.google.com/search?q=Peakhill+Capital+Inc,https://www.google.com/search?q=Peakhill+Capital+Inc+contact,https://www.google.com/search?q=Peakhill+Capital+Inc+linkedin,https://www.google.com/search?q=Peakhill+Capital+Inc+President+OR+CEO+linkedin,https://www.google.com/search?q=Peakhill+Capital+Inc+facebook,https://www.google.com/search?q=Peakhill+Capital+Inc+instagram,https://www.google.com/search?q=Peakhill+Capital+Inc+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Peakhill Capital Inc**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Peakhill+Capital+Inc)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Peakhill+Capital+Inc+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Peakhill+Capital+Inc+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Peakhill+Capital+Inc+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Peakhill+Capital+Inc+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Peakhill+Capital+Inc+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Peakhill+Capital+Inc+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Peakhill Capital Inc</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Peakhill+Capital+Inc' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Peakhill+Capital+Inc+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Peakhill+Capital+Inc+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Peakhill+Capital+Inc+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Peakhill+Capital+Inc+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Peakhill+Capital+Inc+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Peakhill+Capital+Inc+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
5,Canadian Imperial Bank of Commerce,cibc.com,,2023-12-02 13:34:36,'2023-10-30 12:43:01'),https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce,https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+contact,https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+linkedin,https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+President+OR+CEO+linkedin,https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+facebook,https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+instagram,https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Canadian Imperial Bank of Commerce**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Canadian Imperial Bank of Commerce</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Canadian+Imperial+Bank+of+Commerce+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
6,"Wells Fargo Bank NA, Canadian Branch",,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch,https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+contact,https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+linkedin,https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+President+OR+CEO+linkedin,https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+facebook,https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+instagram,https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Wells Fargo Bank NA, Canadian Branch**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Wells Fargo Bank NA, Canadian Branch</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Wells+Fargo+Bank+NA%2C+Canadian+Branch+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
7,Named Individual(s),,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),https://www.google.com/search?q=Named+Individual%28s%29,https://www.google.com/search?q=Named+Individual%28s%29+contact,https://www.google.com/search?q=Named+Individual%28s%29+linkedin,https://www.google.com/search?q=Named+Individual%28s%29+President+OR+CEO+linkedin,https://www.google.com/search?q=Named+Individual%28s%29+facebook,https://www.google.com/search?q=Named+Individual%28s%29+instagram,https://www.google.com/search?q=Named+Individual%28s%29+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Named Individual(s)**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Named+Individual%28s%29)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Named+Individual%28s%29+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Named+Individual%28s%29+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Named+Individual%28s%29+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Named+Individual%28s%29+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Named+Individual%28s%29+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Named+Individual%28s%29+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Named Individual(s)</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Named+Individual%28s%29' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Named+Individual%28s%29+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Named+Individual%28s%29+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Named+Individual%28s%29+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Named+Individual%28s%29+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Named+Individual%28s%29+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Named+Individual%28s%29+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
8,The Bank of Nova Scotia,scotiabank.com,,2023-12-02 13:34:37,'2023-10-30 12:43:01'),https://www.google.com/search?q=The+Bank+of+Nova+Scotia,https://www.google.com/search?q=The+Bank+of+Nova+Scotia+contact,https://www.google.com/search?q=The+Bank+of+Nova+Scotia+linkedin,https://www.google.com/search?q=The+Bank+of+Nova+Scotia+President+OR+CEO+linkedin,https://www.google.com/search?q=The+Bank+of+Nova+Scotia+facebook,https://www.google.com/search?q=The+Bank+of+Nova+Scotia+instagram,https://www.google.com/search?q=The+Bank+of+Nova+Scotia+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**The Bank of Nova Scotia**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=The+Bank+of+Nova+Scotia)
- [📋 CONTACT PAGE](https://www.google.com/search?q=The+Bank+of+Nova+Scotia+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=The+Bank+of+Nova+Scotia+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=The+Bank+of+Nova+Scotia+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=The+Bank+of+Nova+Scotia+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=The+Bank+of+Nova+Scotia+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=The+Bank+of+Nova+Scotia+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>The Bank of Nova Scotia</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=The+Bank+of+Nova+Scotia' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=The+Bank+of+Nova+Scotia+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=The+Bank+of+Nova+Scotia+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=The+Bank+of+Nova+Scotia+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=The+Bank+of+Nova+Scotia+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=The+Bank+of+Nova+Scotia+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=The+Bank+of+Nova+Scotia+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
9,Embee Properties Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),https://www.google.com/search?q=Embee+Properties+Ltd,https://www.google.com/search?q=Embee+Properties+Ltd+contact,https://www.google.com/search?q=Embee+Properties+Ltd+linkedin,https://www.google.com/search?q=Embee+Properties+Ltd+President+OR+CEO+linkedin,https://www.google.com/search?q=Embee+Properties+Ltd+facebook,https://www.google.com/search?q=Embee+Properties+Ltd+instagram,https://www.google.com/search?q=Embee+Properties+Ltd+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Embee Properties Ltd**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Embee+Properties+Ltd)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Embee+Properties+Ltd+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Embee+Properties+Ltd+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Embee+Properties+Ltd+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Embee+Properties+Ltd+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Embee+Properties+Ltd+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Embee+Properties+Ltd+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Embee Properties Ltd</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Embee+Properties+Ltd' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Embee+Properties+Ltd+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Embee+Properties+Ltd+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Embee+Properties+Ltd+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Embee+Properties+Ltd+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Embee+Properties+Ltd+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Embee+Properties+Ltd+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
10,Wasaga Dunes Resorts Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc,https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+contact,https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+linkedin,https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+President+OR+CEO+linkedin,https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+facebook,https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+instagram,https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Wasaga Dunes Resorts Inc**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Wasaga Dunes Resorts Inc</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Wasaga+Dunes+Resorts+Inc+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
11,Northwest Stratford (2016) Developments Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01'),https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc,https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+contact,https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+linkedin,https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+President+OR+CEO+linkedin,https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+facebook,https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+instagram,https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+twitter+OR+x.com,,"### 🔍 QUICK LINKS

**Northwest Stratford (2016) Developments Inc**
*Lender*

**Search Links:**
- [🌐 GOOGLE](https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc)
- [📋 CONTACT PAGE](https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+contact)
- [💼 LINKEDIN](https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+linkedin)
- [👔 LINKEDIN PRESIDENT/CEO](https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+President+OR+CEO+linkedin)
- [📘 FACEBOOK](https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+facebook)
- [📸 INSTAGRAM](https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+instagram)
- [🐦 TWITTER/X](https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+twitter+OR+x.com)","<div class='quick-links-section'>
<h3>🔍 QUICK LINKS</h3>
<div class='entity-name'><strong>Northwest Stratford (2016) Developments Inc</strong></div>
<div class='links-grid'>
<a href='https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc' target='_blank' class='ql-link google'>GOOGLE</a>
<a href='https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+contact' target='_blank' class='ql-link'>CONTACT PAGE</a>
<a href='https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+linkedin' target='_blank' class='ql-link linkedin'>LINKEDIN</a>
<a href='https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+President+OR+CEO+linkedin' target='_blank' class='ql-link'>PRESIDENT/CEO</a>
<a href='https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+facebook' target='_blank' class='ql-link facebook'>FACEBOOK</a>
<a href='https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+instagram' target='_blank' class='ql-link instagram'>INSTAGRAM</a>
<a href='https://www.google.com/search?q=Northwest+Stratford+%282016%29+Developments+Inc+twitter+OR+x.com' target='_blank' class='ql-link twitter'>TWITTER/X</a>
</div>
</div>"
