date,price,rt_number,address,city,property_type,buyer,seller
,4000000000.0,,NEWS Unknown Unknown 02f6e8b3,,Uncategorized,,
,1100000000.0,,NEWS Vancouver Unknown 297ea1bd,Vancouver,Uncategorized,,
,1100000000.0,,NEWS Vancouver Unknown 8e8ba371,Vancouver,Uncategorized,,
,1100000000.0,,NEWS Vancouver Unknown aae8f9c5,Vancouver,Uncategorized,,
,565000000.0,,NEWS Unknown Unknown ad45eaaf,,Uncategorized,,
,565000000.0,,NEWS Unknown Unknown ea71a10d,,Uncategorized,,
,513000000.0,,Unknown Location Vaughan,Vaughan,Uncategorized,SmartCentres,
2025-09-29,300500000.0,RT19,item 1762219804,Innisfil,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT19,item 1762220062,Innisfil,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT19,item 1762219483,,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT19,item 1762220349,Innisfil,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT19,item 1762219681,Innisfil,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT19,item 1762258330,Innisfil,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT19,item 1762219852,Innisfil,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT19,item 1762220198,Innisfil,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT19,item 1762219611,Innisfil,Land,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT916,INNISFIL (Location Only),Innisfil,25M_Plus,Veyron/Innisfil Leasing ULC,DSV Contact Logistics Inc
2025-09-29,300500000.0,RT916,INNISFIL (Location Only),Innisfil,25M_Plus,Veyron/Innisfil Leasing ULC,[[DSV Contact Logistics Inc]]
2025-09-29,300500000.0,RT916,INNISFIL (Location Only),Innisfil,25M_Plus,[[Veyron/Innisfil Leasing ULC]],DSV Contact Logistics Inc
2025-09-29,300500000.0,RT916,INNISFIL (Location Only),Innisfil,25M_Plus,[[Veyron/Innisfil Leasing ULC]],[[DSV Contact Logistics Inc]]
