date,price,rt_number,address,city,property_type,buyer,seller
,4000000000.0,,NEWS Unknown Unknown 02f6e8b3,,Uncategorized,,
,1100000000.0,,NEWS Vancouver Unknown 297ea1bd,Vancouver,Uncategorized,,
,1100000000.0,,NEWS Vancouver Unknown 8e8ba371,Vancouver,Uncategorized,,
,1100000000.0,,NEWS Vancouver Unknown aae8f9c5,Vancouver,Uncategorized,,
,565000000.0,,NEWS Unknown Unknown ad45eaaf,,Uncategorized,,
,565000000.0,,NEWS Unknown Unknown ea71a10d,,Uncategorized,,
,513000000.0,,Unknown Location Vaughan,Vaughan,Uncategorized,,
2025-09-29,300500000.0,RT19,item 1762219804,Innisfil,Land,,
2025-09-29,300500000.0,RT19,item 1762220062,Innisfil,Land,,
2025-09-29,300500000.0,RT19,item 1762219483,,Land,,
2025-09-29,300500000.0,RT19,item 1762220349,Innisfil,Land,,
2025-09-29,300500000.0,RT19,item 1762219681,Innisfil,Land,,
2025-09-29,300500000.0,RT19,item 1762258330,Innisfil,Land,,
2025-09-29,300500000.0,RT19,item 1762219852,Innisfil,Land,,
2025-09-29,300500000.0,RT19,item 1762220198,Innisfil,Land,,
2025-09-29,300500000.0,RT19,item 1762219611,Innisfil,Land,,
2025-09-29,300500000.0,RT916,INNISFIL (Location Only),Innisfil,25M_Plus,,
2025-09-29,300500000.0,RT446,INNISFIL BEACH RD,Innisfil,25M_Plus,,
,296400000.0,,NEWS Unknown Unknown f88c8f27,,Uncategorized,,
,275000000.0,,NEWS Toronto Unknown 76b2b4c4,Toronto,Uncategorized,,
2025-03-27,253000000.0,RT900,7900 AIRPORT RD,Brampton,25M_Plus,,
2025-07-24,247654000.0,RT683,181 WELLINGTON ST W,Toronto,25M_Plus,,
,247000000.0,,NEWS Unknown Unknown 576ba4cb,,Uncategorized,,
2025-06-17,235000000.0,RT466,LIME RIDGE MALL,Hamilton,25M_Plus,,
2025-09-25,223150000.0,RT194512,1680 RICHMOND ST,London,25M_Plus,,
2011-12-01,218000000.0,RT754,2 & 50 SHEPPARD AVE E,N. York,25M_Plus,,
2024-06-24,197000000.0,RT715,252 & 254 PHILLIP ST,Waterloo,25M_Plus,,
2024-10-30,183000000.0,RT7,item 1762259251,Ottawa,Land,,
2024-10-30,183000000.0,RT7,item 1762258371,Ottawa,Land,,
2024-10-30,183000000.0,RT7,item 1762272388,Ottawa,Land,,
2024-10-30,183000000.0,RT7,item 1762273033,Ottawa,Land,,
2024-10-30,183000000.0,RT7,item 1762259486,Ottawa,Land,,
2024-10-30,183000000.0,RT761,211 BESSERER ST,Ottawa,25M_Plus,,
2024-10-30,183000000.0,RT912,OTTAWA (Location Only),Ottawa,Land,,
2025-07-28,181894700.0,RT193546,item 1762272340,Richmond Hill,Land,,
2025-07-28,181894700.0,RT193892,item 1762272995,Richmond Hill,Land,,
2025-07-28,181894700.0,RT193546,RICHMOND HILL (Location Only),Richmond Hill,Multifamily,,
2025-07-28,181759500.0,RT463,"19TH AVE, LESLIE ST",Richmond Hill,25M_Plus,,
2025-07-28,181759500.0,RT792,"ART LEECH DR, HAMSUN RD",Richmond Hill,25M_Plus,,
2016-10-13,166050000.0,RT408,215 LAKE SHORE BLVD E,Toronto,25M_Plus,,
2019-12-05,164000000.0,RT790,2333 TAUNTON RD,Oakville,25M_Plus,,
2025-05-23,159400000.0,RT400,3150 DERRY RD E,Mississauga,25M_Plus,,
2022-02-01,155000000.0,RT166547,CONC 3,Vaughan,25M_Plus,,
2025-09-29,152400000.0,RT194551,item 1762258387,Toronto,Land,,
2025-09-29,152400000.0,RT194551,item 1762272993,Toronto,Land,,
2025-09-29,152400000.0,RT194551,740 DUPONT ST,Toronto,25M_Plus,,
2025-09-24,143000000.0,RT194513,item 1762259327,Halton Hills,Land,,
2025-09-24,143000000.0,RT194513,item 1762272872,Halton Hills,Land,,
2025-09-24,143000000.0,RT194513,item 1762272335,Halton Hills,Land,,
2025-09-24,143000000.0,RT194513,item 1762259211,Halton Hills,Land,,
