1,CLV Realty Corp,clvrealty.com,,2023-12-02 13:35:01,'2023-10-30 12:42:05')
2,Coldwell Banker Commercial,coldwellbanker.co.th,,2023-12-02 13:35:00,'2023-10-30 12:42:05')
3,CB Richard Ellis,cbre.com,,2023-12-02 13:34:44,'2023-10-30 12:42:05')
4,Newmark Canada,,,2023-10-12 11:18:58,'2023-10-30 12:42:05')
5,Jones Lang LaSalle,jll.com,,2024-04-16 14:52:12,'2023-10-30 12:42:05')
6,Lennard Commercial,lennard.com,,2023-12-02 13:34:42,'2023-10-30 12:42:05')
7,Right at Home Realty,rightathomerealty.com,,2023-12-02 13:34:43,'2023-10-30 12:42:05')
8,Colliers International,colliers.com,,2023-12-02 13:34:49,'2023-10-30 12:42:05')
9,D. W. Gould Realty Advisors,,,2023-10-12 11:18:58,'2023-10-30 12:42:05')
10,CBRE Ltd,cbre.com,,2023-12-02 13:34:43,'2023-10-30 12:42:05')
11,Vanguard Realty Corp,vanguardproperties.com,,2023-12-02 13:35:02,'2023-10-30 12:42:05')
12,Koble Commercial Real Estate,koble.ca,,2023-12-02 13:34:43,'2023-10-30 12:42:05')
13,Cushman &amp; Wakefield Southwestern Ontario,,,2023-10-12 11:18:58,'2023-10-30 12:42:05')
14,Avison Young,jll.com,,2024-04-16 14:52:12,'2023-10-30 12:42:05')
15,Homelife/Miracle Realty,,,2023-10-12 11:18:58,'2023-10-30 12:42:05')
16,Cushman &amp; Wakefield ULC,cresa.com,,2023-12-02 13:41:56,'2023-10-30 12:42:05')
17,IPA Marcus Millichap,primecorp.ca,,2023-12-02 13:34:44,'2023-10-30 12:42:05')
18,Reed Realty,,,2023-10-12 11:18:59,'2023-10-30 12:42:05')
19,RE/MAX Realty Services,,,2023-10-12 11:18:59,'2023-10-30 12:42:05')
20,CMA Realty,,,2023-10-12 11:18:59,'2023-10-30 12:42:05')
21,Royal LePage Credit Valley,,,2023-10-12 11:18:59,'2023-10-30 12:42:05')
22,JDF Realty Ltd,,,2023-10-12 11:18:59,'2023-10-30 12:42:05')
23,Spectrum Realty Services Inc,spectrumrealtyco.com,,2023-12-02 13:34:43,'2023-10-30 12:42:05')
24,Your Home Sold Guaranteed Realty Timsold Inc,,,2023-10-12 11:19:00,'2023-10-30 12:42:05')
25,Elite Capital Realty,,,2023-10-12 11:19:00,'2023-10-30 12:42:05')
26,Royal LePage Real Estate Services,,,2023-10-12 11:19:00,'2023-10-30 12:42:05')
27,TD Securities Inc,tdsecurities.com,,2023-12-02 13:34:44,'2023-10-30 12:42:05')
28,SVN Rock Advisors,,,2023-10-12 11:19:00,'2023-10-30 12:42:05')
29,Ed Lowe Ltd,,,2023-10-12 11:19:00,'2023-10-30 12:42:05')
30,Lennard Commercial Realty,lennard.com,,2023-12-02 13:34:44,'2023-10-30 12:42:05')
31,Indusite Realty Corp,,,2023-10-12 11:19:06,'2023-10-30 12:42:05')
32,Institutional Property Advisors,institutionalpropertyadvisors.com,,2023-12-02 13:35:00,'2023-10-30 12:42:05')
33,Cushman &amp; Wakefield,,,2023-10-12 11:19:08,'2023-10-30 12:42:05')
