1,3414493 Canada Inc,"11 Church St, Ste 401",,,M5E 1W1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
2,Capital Developments,"45 St Clair Ave W, Ste 1202",Toronto,Ontario,M4V 1K9,416-632-9300,2022-04-29,capitaldevelopments.com,,2023-12-02 13:12:40,'2023-10-30 12:42:37')
3,First Oshawa Holdings Inc,"480 University Ave, Ste 1401",Toronto,Ontario,M5G 1V2,877-820-1210,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
4,First Avenue Investments (Oshawa) Ltd,"110 Yonge St, Ste 1100",Toronto,Ontario,M5C 1T4,416-477-8950,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
5,2543053 Ontario Ltd,"666 Burrard St, Ste 800",,,V6C 2X8,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
6,QuadReal Property Group Ltd,"199 Bay St, Ste 4900",Toronto,Ontario,M5L 1G2,416-673-7444,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
7,Dorham Holdings Inc,374 Pomona Ave,,,L7N 1T5,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
8,Argo Neyagawa Corp,"4900 Palladium Way, Unit 105",Burlington,Ontario,L7W 0W7,905-336-5545,2022-04-29,ultrastor.ca,,2024-06-04 13:12:45,'2023-10-30 12:42:37')
9,Benti Developments Inc,"6345 Netherhart Rd, Unit 3",,,L5T 1B8,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
10,Beedie ON (Allstate Parkway),3030 Gilmore Diversion,Burnaby,British Columbia,V5G 3B4,604-435-3321,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
11,1392893 Ontario Inc,"3300 Highway 7, Ste 904",Vaughan,Ontario,L4K 4M3,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
12,Aurora Group,20 Caldari Rd,Concord,Ontario,L4K 4N8,416-362-1700,2022-04-29,aurora-group.com,,2023-12-02 13:16:40,'2023-10-30 12:42:37')
13,Named Individual(s),,,,,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
14,Dream,"30 Adelaide St E, Ste 301",Toronto,Ontario,M5C 3H1,416-365-3535,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
15,1266989 BC Ltd,"999 West Broadway, Ste 410",,,V5Z 1H5,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
16,Belmont Concrete Finishing,151 Villarboit Cres,Concord,Ontario,L4K 4K2,416-746-3444,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
17,Asherton Developments Ltd,129 Fernstaff Ct,Vaughan,Ontario,L4K 3M1,905-695-7800,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
18,4949 Bathurst GP Ltd,"79 Wingold Ave, Ste 12",Toronto,Ontario,M6B 1P8,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
19,2154855 Ontario Ltd,"666 Burrard St, Ste 800",,,V6C 2X8,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
20,Simonis Family Holdings Inc,"1700 King Rd, Unit 21",King City,Ontario,L7B 0N1,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
21,Heritage Senior&#039;s Communities Inc,222 - 2nd Ave,Hanover,Ontario,N4N 3S2,,2022-04-29,heritagepmi.com,,2023-12-02 13:33:33,'2023-10-30 12:42:37')
22,Barry&#039;s Construction Ltd,"7839 Highway 21,",Allenford,Ontario,N0H 1A0,519-934-3374,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
23,Zeh Technologies Inc,,,,M2H 2E2,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
24,Par 3 Holdings Inc,25 Kylemount Ct,Thornhill,Ontario,L4J 0J4,,2022-04-29,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
25,1000029860 Ontario Inc,"5710 Timberlea Blvd, Ste 105",,,L4W 4W1,,2022-04-28,,,2023-10-12 10:25:20,'2023-10-30 12:42:37')
