1,Royal Bank of Canada,,,2023-10-13 11:00:06,'2023-10-30 12:43:01')
2,Computershare Trust Company of Canada,computershare.com,,2023-12-02 13:34:37,'2023-10-30 12:43:01')
3,Dorham Holdings Inc,,,2023-10-13 11:00:06,'2023-10-30 12:43:01')
4,Peakhill Capital Inc,,,2023-10-13 11:00:06,'2023-10-30 12:43:01')
5,Canadian Imperial Bank of Commerce,cibc.com,,2023-12-02 13:34:36,'2023-10-30 12:43:01')
6,"Wells Fargo Bank NA, Canadian Branch",,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
7,Named Individual(s),,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
8,The Bank of Nova Scotia,scotiabank.com,,2023-12-02 13:34:37,'2023-10-30 12:43:01')
9,Embee Properties Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
10,Wasaga Dunes Resorts Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
11,Northwest Stratford (2016) Developments Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
12,2036353 Ontario Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
13,Waterdown Bay Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
14,Cameron Stephens Mortgage Capital Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
15,1599825 Ontario Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
16,Mac&#039;s Convenience Store Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
17,Crowley Farms Norwood Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
18,The Lora Bay Cor,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
19,Business Development Bank of Canada,bdc.ca,,2023-12-02 13:34:38,'2023-10-30 12:43:01')
20,Borani Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
21,Christian Stewardship Service,csservices.ca,,2023-12-02 13:34:38,'2023-10-30 12:43:01')
22,The Toronto-Dominion Bank,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
23,Canadian Mortgage Servicing Cor,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
24,National Bank of Canada,nbc.ca,,2023-12-02 13:34:42,'2023-10-30 12:43:01')
25,2648607 Ontario Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
26,161 Athol Street GP Ltd,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
27,Latitude Mortgage Services Inc,,,2023-10-13 11:00:07,'2023-10-30 12:43:01')
28,Farm Credit Canada,fcc-fac.ca,,2023-12-02 13:34:38,'2023-10-30 12:43:01')
29,Meridian Credit Union Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
30,InterRent International Properties Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
31,Equiton Real Estate Financial GP Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
32,Equiton Partners Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
33,1705 Weston Road Holdings Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
34,Black Creek Comprop Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
35,Petek LLP,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
36,Roynat Inc,roynat.com,,2023-12-02 13:34:38,'2023-10-30 12:43:01')
37,GB (Mayfield) Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
38,Brooklin Garrard Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
39,WBTC Roselawn Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
40,Roselawn and Main Urban Properties Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
41,Terma Holdings Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
42,Canada Mortgage and Housing Cor,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
43,KingSett Mortgage Cor,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
44,JJ&#039;S Hospitality Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
45,Ken Beattie Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
46,Westdale Construction Co Ltd,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
47,Bank of Montreal,bmo.com,,2023-12-02 13:34:31,'2023-10-30 12:43:01')
48,9695443 Canada Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
49,The Toronto-Dominion Bank of Canada,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
50,Windsor Family Credit Union Ltd,windsorfamily.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01')
51,Business EQ BV,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
52,Otera Capital Inc,oteracapital.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01')
53,A&amp;W Green Houses Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
54,Sun Life Assurance Comapny of Canada,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
55,Dorr Capital Cor,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
56,797377 Ontario Inc,,,2023-10-13 11:00:08,'2023-10-30 12:43:01')
57,Investissement Quebec,invest-quebec.com,,2023-12-02 13:34:39,'2023-10-30 12:43:01')
58,Fenelon Trails Inc,,,2023-10-13 11:00:09,'2023-10-30 12:43:01')
59,250 Bowie Holdings Inc,,,2023-10-13 11:00:09,'2023-10-30 12:43:01')
60,Markhamone Developments Ltd,,,2023-10-13 11:00:09,'2023-10-30 12:43:01')
