(1,'Canal City Realty Limited','Thorold','Niagara S','','','Serge Anthony Carpino','2023-12-20 16:16:14','2023-12-20 16:16:14'),
(2,'Emerald Realty Group Ltd.','Thorold','Niagara S','','','Lindsey Anne Phieffer','2023-12-20 16:16:15','2023-12-20 16:16:15'),
(3,'Extreme Real Estate Brokerage Inc.','Thorold','Niagara S','extremerealestate.ca','','Joshua John Fennell','2023-12-20 16:16:15','2023-12-20 16:16:15'),
(4,'Griff Real Estate Ltd','Thorold','Niagara S','griffrealestate.com','','Shirley A. Griff','2023-12-20 16:16:15','2023-12-20 16:16:15'),
(5,'M Life Realty Corp.','Thorold','Niagara S','','','Nicholas Frank Colamartini','2023-12-20 16:16:15','2023-12-20 16:16:15'),
(6,'Niagara Builders Realty Inc.','Thorold','Niagara S','','','Emma Csak','2023-12-20 16:16:15','2023-12-20 16:16:15'),
(7,'Serge Realty Inc.','Thorold','Niagara S','','','Matthew James Sergenese','2023-12-20 16:16:15','2023-12-20 16:16:15'),
(8,'1000158617 Ontario Inc.','Markham','York Region','pivotre.com','','Shelly Sou','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(9,'1000212273 Ontario Inc.','Markham','York Region','consultant.com','','Ullanda Chu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(10,'10117897 Canada Inc.','Markham','York Region','remaxmetropolis.ca','','Balwant Singh Rathore','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(11,'10584894 Canada Inc.','Markham','York Region','','','Zheng Cui','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(12,'11565397 Canada Limited','Markham','York Region','smartsoldrealty.ca','','Qingsu Zhang','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(13,'11829785 Canada Inc.','Markham','York Region','','','Neeraj Bhugra','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(14,'1661753 Ontario Inc','Markham','York Region','','','George Politis','2024-01-31 12:27:23','2023-12-20 16:17:12'),
(15,'168 Real Estates Inc.','Markham','York Region','','','Jenny Yu Ching Lee','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(16,'2490931 Ontario Inc.','Markham','York Region','teamrajpal.com','','Rajiv Rajpal','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(17,'2528771 Ontario Inc.','Markham','York Region','','','Marius Mitrofan','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(18,'2529919 Ontario Ltd.','Markham','York Region','remaxprimeproperties.ca','','Yini Liu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(19,'2530134 Ontario Inc.','Markham','York Region','torontotopagents.com','','Samson Vei Shun Chiu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(20,'2578928 Ontario Inc.','Markham','York Region','','','Mandeep Kaur Sachdeva','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(21,'2603077 Ontario Ltd.','Markham','York Region','','','Jay Leung','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(22,'2632485 Ontario Inc.','Markham','York Region','','','Manni Xu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(23,'2708874 Ontario Inc.','Markham','York Region','homelifelandmark.com','','Xi Ming Huang','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(24,'2715504 Ontario Inc.','Markham','York Region','','','Hua Pei','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(25,'2796683 Ontario Ltd.','Markham','York Region','','','Ka Kai Chu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(26,'2822847 Ontario Inc.','Markham','York Region','','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(27,'2839158 Ontario Inc.','Markham','York Region','teamblueforce.ca','','Nijenthi Pararajalingam','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(28,'2843852 Ontario Inc.','Markham','York Region','wangfaye.com','','Bo Wang','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(29,'A Class Realty Inc.','Markham','York Region','','','Fei Yun','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(30,'Ace Realty Brokerage Limited','Markham','York Region','','','David Ka Shing Ho','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(31,'Agnes M. Y. Lee','Markham','York Region','','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(32,'Agree Realty Centre Inc','Markham','York Region','','','Allan C L Lai','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(33,'Aimhome Realty Inc.','Markham','York Region','aimhomerealty.ca','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(34,'Alpha Sold Realty Ltd.','Markham','York Region','','','Yu Feng Gao','2024-01-29 17:32:34','2023-12-20 16:17:12'),
(35,'Alvir Homes Realty Ltd Brokerage','Markham','York Region','','','Alvir Canlas Tanghal','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(36,'Anchor New Homes Inc.','Markham','York Region','anchornewhomes.com','','Min Min He','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(37,'Anjia Realty Inc.','Markham','York Region','anjiarealty.ca','','Harry Leung-kit Siu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(38,'Applaud Realty Inc.','Markham','York Region','','','Warren Yu','2024-01-31 12:11:50','2023-12-20 16:17:12'),
(39,'Associates Realty Inc.','Markham','York Region','royallepage.ca','','Srisangar Shan Sinnarajah','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(40,'Atrium Home Realty Inc.','Markham','York Region','atriumhomerealty.com','','Qiong Wu','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(41,'Avion Realty Inc.','Markham','York Region','','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(42,'Avison Young Commercial Real Estate Services Lp','Markham','York Region','avisonyoung.com','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(43,'B.first Inc.','Markham','York Region','bfirst.ca','','Dinah Vanda Steele','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(44,'Bay Street Group Inc.','Markham','York Region','','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(45,'Bay Street Integrity Realty Inc.','Markham','York Region','baystreetintegrity.com','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(46,'Benchmark Signature Realty Inc.','Markham','York Region','','','Cheuk Kee Chou','2024-01-29 17:32:34','2023-12-20 16:17:12'),
(47,'Benczik Kavanagh Real Estate Team Inc.','Markham','York Region','getbenczik.com','','Leslie Rudolph Benczik','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(48,'Best Canada Home Realty Inc.','Markham','York Region','','','Xi Zou','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(49,'Best Union Realty Inc.','Markham','York Region','','','Hao Wang','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(50,'Bestway Realty Inc.','Markham','York Region','bestwayrealtyinc.com','','Praven Jayasiri','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(51,'Bgis Global Integrated Solutions Realty Inc. Bgis Societe Immobiliere Solutions Globales Integrees Inc.','Markham','York Region','bgis.com','','Kathryn Susan B Quirke','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(52,'Bgs Realty Inc.','Markham','York Region','bgshomes.com','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(53,'Big City Realty Inc. Brokerage','Markham','York Region','bigcityrealtor.com','','Nerses Sraidarian','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(54,'Blue Whale Capital Realty Inc.','Markham','York Region','viptre.com','','Victor Chi Ho Lee','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(55,'Blvd Real Estate Inc.','Markham','York Region','delmarhomes.ca','','Hamed Ismailzadeh','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(56,'Boxin Realty Inc.','Markham','York Region','','','Boxin Wang','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(57,'C.d.p. Real Estate Limited','Markham','York Region','','','Raffaela Dipaola','2024-01-31 12:11:50','2023-12-20 16:17:12'),
(58,'Canadian Real Estate International Inc','Markham','York Region','','','Ronald J Graham','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(59,'Capital Edge Real Estate Corp','Markham','York Region','','','Emily Chen','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(60,'Capitalplus Group Realty Inc.','Markham','York Region','capitalpluscanada.com','','Bo Wen Li','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(61,'Centerpoint Realty Inc.','Markham','York Region','evanhomes.ca','','Zhekai Tang','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(62,'Centrecorp Real Estate Services Limited','Markham','York Region','centrecorp.com','','Antonio Fazari','2023-12-20 16:17:12','2023-12-20 16:17:12'),
(63,'Century 21 - Leading Edge Realty Inc.','Markham','York Region','century21.ca','','','2023-12-20 16:17:12','2023-12-20 16:17:12'),
