Buyer,Contact,Phone,Email,Priority,Status,Date Contacted,Response,Next Action,Notes
Devonleigh Homes,,,,Tier 1 - HOT,Not Contacted,,,Find contact & call today,Active in Stayner - perfect fit
Sunvale Homes,,,,Tier 1 - HOT,Not Contacted,,,Find contact & call today,Proving local market
Mattamy Homes,,613-831-4115,,Tier 1 - HOT,Not Contacted,,,Call Northwoods office,National builder - institutional
Fieldgate - Jack Eisenberger,Jack Eisenberger,416-227-2225,,Tier 1 - HOT,Not Contacted,,,Call today,Large-scale developer
TACC - Silvio De Gasperis,Silvio De Gasperis,905-760-7300,,Tier 1 - HOT,Not Contacted,,,Call today,Land assemblies
Paradise Developments,Steven Weisz,416-756-1977,,Tier 2,Not Contacted,,,Email today,Mid-size developer
Trinity Development Group,Kevin Stark,416-255-8800,,Tier 2,Not Contacted,,,Email today,Mixed-use focus
Marlin Spring Developments,Benjamin Bakst,416-619-3550,,Tier 2,Not Contacted,,,Email today,Growing platform
CentreCourt Developments,,,,Tier 2,Not Contacted,,,Find contact,High-rise + low-rise
Solmar Development Corp,Benedetto Marotta,905-660-9222,,Tier 2,Not Contacted,,,Email today,Established Ontario
Boardwalk REIT,,,,Tier 3,Not Contacted,,,Research contact,Institutional landlord
Avenue Living,,,,Tier 3,Not Contacted,,,Research contact,Multi-family REIT
Mainstreet Equity,,,,Tier 3,Not Contacted,,,Research contact,Expanding east
Highland Communities,,,,Tier 3,Not Contacted,,,Research contact,International
Sunrise Acquisitions (Stayner),,905-597-3333,,Tier 2,Not Contacted,,,Call today,Stayner-focused investor
Stayner Holdings Ltd,,,,Tier 2,Not Contacted,,,Find contact,Local investment
Homestead Land Holdings,Francine Moore,613-546-3145,,Tier 3,Not Contacted,,,Email,Land holdings
Uniform Developments,John MacDougall,613-225-0770,,Tier 3,Not Contacted,,,Email,Regional builder
Vanmar Developments,Aart Van Maren,519-740-6800,,Tier 3,Not Contacted,,,Email,Ontario developer
