brokerage,total_agents,with_email,email_percentage
Unknown,31610,31533,99.8%
Signature Realty Inc.,1255,0,0.0%
Homelife New World Realty Inc,688,3,0.4%
Century 21 People's Choice Realty Inc.,555,0,0.0%
Homelife Superstars Real Estate Limited,436,0,0.0%
Century 21 Percy Fulton Ltd,403,0,0.0%
Homeward Inc.,345,0,0.0%
Crone Realty Ltd.,304,0,0.0%
RE/MAX First Realty,296,296,100.0%
Zinati Realty,264,264,100.0%
Homelife Galaxy Real Estate Ltd.,250,0,0.0%
CBRE Ltd,237,206,86.9%
Incompro Realty Ltd,236,235,99.6%
Zolo Realty,216,215,99.5%
Colliers International,186,153,82.3%
Coldwell Banker Southwest Realty,175,175,100.0%
Homelife/cimerman Real Estate Ltd,160,0,0.0%
Land/Max Realty,135,135,100.0%
Cushman &amp; Wakefield Ltd,129,75,58.1%
Queensway Real Estate Brokerage Inc.,128,0,0.0%
Realcor,127,127,100.0%
DTZ Barnicke Waterloo Wellington Ltd,123,123,100.0%
Homelife/vision Realty Inc.,123,0,0.0%
Homelife Today Realty Ltd.,122,0,0.0%
Royal LePage Macro Realty,105,105,100.0%
Avison Young,102,83,81.4%
World Class Realty Point Brokerage Inc.,89,0,0.0%
Homecomfort Realty Inc.,83,0,0.0%
Royal LePage Burloak,79,79,100.0%
Century 21 President Realty,77,77,100.0%
Slavins &amp; Associates Real Estate,73,72,98.6%
Sutton Group-associates Realty Inc.,73,0,0.0%
CB Richard Ellis,71,62,87.3%
Peak Realty Ltd,71,70,98.6%
Keller Williams Referred Urban Realty,70,70,100.0%
Homelife/champions Realty Inc,67,0,0.0%
Sutton Group - Heritage Realty,63,63,100.0%
Homelife Gold Pacific Realty Inc.,63,0,0.0%
Supreme Realty Inc.,63,0,0.0%
Jones Lang LaSalle,61,18,29.5%
Oakview Capital Inc,61,60,98.4%
2734100 Ontario Inc.,61,0,0.0%
Trade One Realty Inc.,61,0,0.0%
Accretive Realty Partners,60,59,98.3%
Brascan Financial,57,55,96.5%
RE/MAX Unique Inc,54,54,100.0%
RE/MAX,50,49,98.0%
Royal LePage Real Estate Services,49,44,89.8%
Skyview Realty Ltd,48,48,100.0%
Soltanian Real Estate Inc.,48,0,0.0%
Coupal Markou Commercial Real Estate Inc,47,47,100.0%
Sincere Realty Inc,47,14,29.8%
Royal LePage Real Estate Professionals,47,45,95.7%
Coldwell Banker - Peter Benninger Realty,47,47,100.0%
Brixton Commercial Real Estate Corp,46,46,100.0%
Home Leader Realty Inc.,40,0,0.0%
Homelife/realty One Ltd.,40,0,0.0%
Nicholson Realty,39,39,100.0%
Royal LePage Terrequity Realty,37,37,100.0%
Right at Home Realty,36,34,94.4%
Brookfield Financial Real Estate,36,35,97.2%
CLV Realty Group,36,36,100.0%
Lennard Commercial Realty,36,32,88.9%
Tradeworld Realty Inc,35,35,100.0%
Lennard Commercial,32,29,90.6%
Royal LePage Your Community Realty,32,24,75.0%
Our Neighbourhood Realty Inc,32,31,96.9%
Royal LePage,32,32,100.0%
RE/MAX West Realty,31,27,87.1%
Harvey Kalles Real Estate,31,28,90.3%
Real Land Realty Inc.,31,0,0.0%
Synercapital,30,30,100.0%
Sutton Group - Ottawa Realty,30,30,100.0%
Royal LePage RCR,29,28,96.6%
Cloud Realty Inc,29,28,96.6%
Century 21 First Canadian Corp,29,26,89.7%
BMO Capital Markets,29,29,100.0%
Cushman &amp; Wakefield LePage,29,29,100.0%
Coldwell Banker Commercial Integrity,29,29,100.0%
Moveta Realty,29,29,100.0%
RE/MAX Hallmark Realty,28,24,85.7%
Harvest Realty Ltd.,28,0,0.0%
Orion Realty Corporation,28,0,0.0%
Jones Lang LaSalle Real Estate Services Inc,27,27,100.0%
Sutton Group - Tower Realty Ltd.,27,0,0.0%
Mysak Realty Inc,26,26,100.0%
CBRE,26,22,84.6%
RE/MAX Real Estate Centre,26,26,100.0%
Colliers International Niagara,26,26,100.0%
Zinati Commercial Realty,25,25,100.0%
Peak Point Real Estate,25,25,100.0%
Homelife Local Real Estate Ltd,24,0,0.0%
Chi Real Estate,23,23,100.0%
Smart Choice Realty Solutions Inc.,23,0,0.0%
Bridlepath Progressive Real Estate,22,21,95.5%
Cushman &amp; Wakefield Ottawa,22,20,90.9%
Royal LePage Signature Realty,22,17,77.3%
Harvey Kalles Real Estate Ltd,22,22,100.0%
NAI Park Capital,21,21,100.0%
Coldwell Banker First Ottawa,21,21,100.0%
RE/MAX Realtron Realty,21,21,100.0%
Homelife Regional Realty Ltd,21,0,0.0%
The Guardian Home Realty Inc.,21,0,0.0%
Ashlar Urban Realty,20,18,90.0%
RE/MAX Twin City Realty,20,20,100.0%
Royal LePage RCR Realty,20,20,100.0%
Royal LePage Binder Real Estate,20,20,100.0%
Colliers International London,20,20,100.0%
Canovin Realty Inc.,20,0,0.0%
Cushman &amp; Wakefield Kingston,19,13,68.4%
Maven Commercial,19,19,100.0%
DTZ Barnicke,19,16,84.2%
Coldwell Banker Thompson Real Estate,19,17,89.5%
Cityscape Real Estate Ltd,19,19,100.0%
Guaranteed Real Estate Services Inc,19,19,100.0%
City Commercial Realty,19,19,100.0%
Forest Hill Real Estate,19,18,94.7%
2648413 Ontario Inc.,19,0,0.0%
Main Street Realty Ltd,18,17,94.4%
Royal LePage Meadowtowne Realty,18,18,100.0%
Royal LePage ProAlliance Realty,18,18,100.0%
Sutton Group Old Mill Realty,18,18,100.0%
Real One Realty,18,15,83.3%
Monopoly Commercial Realty,18,18,100.0%
Esbin Realty,18,18,100.0%
5i5j Realty Inc.,18,0,0.0%
TD Securities Inc,17,17,100.0%
Cushman &amp; Wakefield ULC,17,5,29.4%
Royal LePage Team Realty,17,15,88.2%
RE/MAX Advantage Realty,17,17,100.0%
C Ashley Realty Inc,17,17,100.0%
Rexton Commercial,16,15,93.8%
RE/MAX Realty Specialists,16,13,81.2%
Koble Commercial Real Estate,16,15,93.8%
KPMG Realty,16,15,93.8%
Colliers,16,14,87.5%
Tamarack Real Estate Corp,16,16,100.0%
Indusite Realty Corp,16,6,37.5%
Marcus &amp; Millichap,16,15,93.8%
RE/MAX Twin City Realty Inc,15,15,100.0%
Royal LePage North Heritage Realty,15,14,93.3%
jj Barnicke,15,15,100.0%
Homelife Power Realty,15,15,100.0%
Haiya-maan Inc.,15,0,0.0%
Atv Realty Inc,15,0,0.0%
RE/MAX Centre City,14,12,85.7%
BMO Capital Markets Real Estate,14,14,100.0%
Vanguard Realty,14,12,85.7%
Royal LePage Triland Realty,14,13,92.9%
JUMP Realty Inc,14,13,92.9%
Facilities Commercial,14,14,100.0%
Coldwell Banker Sarazen Realty,14,13,92.9%
Porritt Real Estate Inc.,14,0,0.0%
RBC Capital Markets,13,11,84.6%
IPro Realty,13,11,84.6%
TD Securities,13,13,100.0%
RE/MAX Ultimate Realty,13,13,100.0%
Synercapital Investment Realty,13,13,100.0%
Remo Valente Real Estate,13,13,100.0%
Royal LePage State Realty,13,13,100.0%
Avila Realty Group Inc.,13,0,0.0%
Reed Realty,12,10,83.3%
Bosley Real Estate,12,12,100.0%
Cushman &amp; Wakefield Waterloo Region,12,5,41.7%
Stonebank Apartment Experts,12,12,100.0%
Keller Williams Referred Realty,12,12,100.0%
Homelife Macro Realty,12,12,100.0%
RE/MAX Dynasty Realty,12,12,100.0%
RE/MAX All-Stars Realty,12,11,91.7%
Homelife Landmark Realty,12,12,100.0%
Friends Realty Inc.,12,0,0.0%
James So Realty Ltd,12,0,0.0%
Bentallgreenoak (canada) Limited Partnership,12,0,0.0%
Park Place Referral Realty Inc.,12,0,0.0%
Master Home Realty Inc.,12,0,0.0%
Brookfield Financial Real Estate Group Ltd,11,11,100.0%
Coldwell Banker Ronan Realty,11,11,100.0%
Brindley Auction Services,11,10,90.9%
Colliers International Niagara Ltd,11,11,100.0%
Sutton Group Quantum Realty,11,10,90.9%
RBC Capital Markets Realty,11,6,54.5%
Royal LePage Elite Realty,11,10,90.9%
Sotheby&#039;s International,11,11,100.0%
David Lang Real Estate,11,10,90.9%
Ambitious Realty Advisors Inc,11,11,100.0%
Royal LePage Action Realty,11,11,100.0%
Freeman Realty,11,11,100.0%
Sutton Group - Preferred Realty,11,11,100.0%
Intercity Realty,11,7,63.6%
2518951 Ontario Inc.,11,0,0.0%
Realty 7 Ltd.,11,0,0.0%
Sol City Realty Limited,11,0,0.0%
Chestnut Park Realty SW,10,9,90.0%
Keller Williams,10,10,100.0%
District Realty,10,10,100.0%
Homelife Miracle Realty,10,10,100.0%
Sutton Group Incentive Realty,10,8,80.0%
Rentex Realty,10,8,80.0%
CIBC World Markets,10,9,90.0%
Blair Blanchard Stapleton,10,8,80.0%
RE/MAX Premier,10,9,90.0%
Metropolitan Commercial Realty,10,10,100.0%
Sutton Group - Masters Realty,10,10,100.0%
Homelife / New Star Real Estate,10,10,100.0%
Rogers &amp; Trainor Commercial Realty,10,7,70.0%
Bridlepath Progressive Real Estate Inc.,10,0,0.0%
Envoy Capitol Realty Inc.,10,0,0.0%
10163589 Canada Inc.,10,0,0.0%
10703702 Canada Inc.,10,0,0.0%
Southvale Realty Inc.,10,0,0.0%
Red Leaf Real Estate Ltd,9,8,88.9%
D. W. Gould Realty Advisors,9,9,100.0%
Primecorp Commercial Realty Inc,9,9,100.0%
Stone Castle Realty Group,9,8,88.9%
BMO Capital Markets Real Estate Inc,9,9,100.0%
Whitney &amp; Company Realty,9,7,77.8%
Vanguard Realty Brokerage Corp,9,7,77.8%
Coldwell Banker - Peter Benninger Real Estate,9,9,100.0%
Royal LePage Signature,9,6,66.7%
McIntyre Real Estate,9,9,100.0%
Sutton Group - Associates Realty,9,9,100.0%
PRO/COM Realty Corp,9,8,88.9%
Century 21 Regal Realty,9,9,100.0%
RE/MAX Solid Realty,9,9,100.0%
Shackleton&#039;s Real Estate &amp; Auctions Co,9,9,100.0%
GTA Realty Ltd,9,9,100.0%
RE/MAX Chay,9,9,100.0%
RE/MAX Quality One,9,9,100.0%
2162559 Ontario Inc.,9,0,0.0%
Institutional Property Advisors,8,8,100.0%
"Jordan Palmer, Scott Anderson &amp; David Anderson, 519-585-2200Lennard Commercial Realty",8,8,100.0%
REN/TEX Realty Inc,8,4,50.0%
Engel &amp; Volkers Collingwood,8,7,87.5%
Buckingham Realty,8,8,100.0%
"Eli Fleischmann, Gary Morassutti, Pat Luca &amp; David Tweedie, 416-842-8900Avison Young Commercial Real Estate",8,7,87.5%
Homelife/Miracle Realty,8,5,62.5%
JDF Realty Ltd,8,5,62.5%
Coupal Markou Commercial Real Estate,8,5,62.5%
RE/MAX Preferred Realty,8,7,87.5%
EXP Realty,8,7,87.5%
TD Cornerstone Commercial Realty Inc,8,4,50.0%
Brookfield Financial Real Estate Group,8,8,100.0%
Sutton Group - Security Real Estate,8,8,100.0%
Century 21 Leading Edge Realty,8,5,62.5%
Coldwell Banker Peter Benninger Realty,8,8,100.0%
Sotheby&#039;s International Realty,8,8,100.0%
Mer/Ax Realty Inc,8,7,87.5%
RE/MAX Professionals,8,6,75.0%
DTZ,8,7,87.5%
RE/MAX Paramount Realty,8,8,100.0%
Coldwell Banker Integrity Realty,8,5,62.5%
RE/MAX Professionals Inc,8,8,100.0%
RE/MAX Chay Realty,8,8,100.0%
Homelife/Bayview Realty,8,8,100.0%
nvestpro Realty,8,8,100.0%
Commtrac Realty,8,8,100.0%
Prudential Ronan Realty,8,8,100.0%
Coldwell Banker Rideau Heartland Realty,8,8,100.0%
Baytree Real Estate Inc.,8,0,0.0%
Target West Realty Inc.,8,0,0.0%
RE/MAX Escarpment,7,7,100.0%
Sage Real Estate Ltd,7,7,100.0%
RE/MAX Advantage Realty Ltd,7,6,85.7%
ROCK Advisors Inc,7,7,100.0%
Century 21 United Realty,7,7,100.0%
Royal LePage Peifer Realty,7,6,85.7%
Avison Young Inc,7,7,100.0%
IPA Marcus Millichap,7,6,85.7%
Royal LePage Frank Real Estate,7,4,57.1%
RE/MAX Realty Services,7,5,71.4%
RE/MAX Escarpment Realty,7,7,100.0%
Blair Blanchard Stapleton Ltd,7,7,100.0%
Vanguard Realty Brokerage Corp.,7,7,100.0%
Stonecastle Realty Group,7,7,100.0%
Urban Avenue Realty,7,7,100.0%
Ed Lowe Real Estate,7,7,100.0%
RE/MAX Niagara Realty,7,7,100.0%
Royal LePage Estate Realty,7,6,85.7%
Royal LePage Golden Ridge Realty,7,7,100.0%
City Commercial Realty Group Ltd,7,7,100.0%
Binswanger Hectare,7,7,100.0%
Whitney and Company,7,7,100.0%
Sotheby&#039;s International Realty Canada,7,7,100.0%
Eastdil Secured,7,7,100.0%
Homelife/Realty Centre,7,7,100.0%
Cushman &amp; Wakefield,7,1,14.3%
Royal LePage Performance Realty,7,7,100.0%
RE/MAX Garden City Realty,7,7,100.0%
Homelife/golden East Realty Inc.,7,0,0.0%
Johnston & Green Real Estate Ltd,7,0,0.0%
Maple Life Realty Inc.,7,0,0.0%
SVN Rock Advisors,6,6,100.0%
Royal LePage Commercial,6,4,66.7%
BMO Nesbitt Burns Real Estate,6,6,100.0%
Ed Lowe Ltd,6,3,50.0%
Colliers International Toronto West Office,6,6,100.0%
Ellington Partners,6,5,83.3%
Colliers Capital Markets Canada,6,5,83.3%
Ashlar Urban Realty Inc,6,6,100.0%
Cushman &amp; Wakefield Southwestern Ontario,6,5,83.3%
Primecorp Commercial Realty,6,6,100.0%
Homelife Superstars Real Estate,6,5,83.3%
RE/MAX Gold Realty,6,4,66.7%
Whitney &amp; Company Realty Ltd,6,2,33.3%
Spear Realty,6,6,100.0%
Urban Real Estate Ltd,6,5,83.3%
Encore Advisors,6,4,66.7%
Anzar Group Inc,6,5,83.3%
Lee &amp; Associates Commercial Real Estate Services,6,4,66.7%
Ekort Realty Ltd,6,6,100.0%
TD Cornerstone,6,6,100.0%
Cambridge Mercantile Realty,6,6,100.0%
RE/MAX Quinte Ltd,6,6,100.0%
The Behar Group,6,6,100.0%
Royal LePage Grand Valley Realty,6,6,100.0%
RE/MAX Premier Inc,6,5,83.3%
Laceby Estate,6,3,50.0%
Royal LePage New Concept,6,6,100.0%
RE/MAX Capital Inc,6,6,100.0%
Chestnut Park Real Estate,6,6,100.0%
RE/MAX Centre City Realty,6,6,100.0%
Sutton Realty,6,6,100.0%
Realty Executives Elite Ltd,6,6,100.0%
Seguin Realty,6,6,100.0%
Cityscape Real Estate,6,6,100.0%
Rainbow Realty Ltd,6,6,100.0%
RE/MAX Niagara Realty Ltd,6,6,100.0%
Living Realty,6,5,83.3%
Colliers Hotels,6,0,0.0%
The Apartment Specialists,6,6,100.0%
Keller Williams Advantage Realty,6,6,100.0%
Condosdeal Inc.,6,0,0.0%
Babiak Team Real Estate Brokerage Ltd.,6,0,0.0%
2787939 Ontario Inc.,6,0,0.0%
Condoman Realty Inc.,6,0,0.0%
Regal Asset Holdings Inc.,6,0,0.0%
New Century Real Estate Corp,6,0,0.0%
Winpax Realty Inc.,6,0,0.0%
Capital North Commercial Realty,5,3,60.0%
Brewing Brokers Realty Inc,5,4,80.0%
Citi Brokers Realty Inc,5,2,40.0%
SVN Rock Advisors Inc,5,5,100.0%
Spectrum Realty Services Inc,5,5,100.0%
RBC Capital Markets Real Estate Group,5,4,80.0%
Vanguard Realty Corp,5,5,100.0%
Paracom Realty Corp,5,2,40.0%
Keller Williams Preferred Realty,5,5,100.0%
Lee &amp; Associates,5,5,100.0%
Culligan Real Estate,5,5,100.0%
ProJet Corp Realty,5,1,20.0%
Norman Hill Realty Inc,5,5,100.0%
Qube Properties Ltd,5,2,40.0%
Royal LePage Crown Realty,5,4,80.0%
Mallette-Goring Real Estate,5,3,60.0%
Coldwell Banker Commercial Peter Benninger Realty,5,3,60.0%
Spectrum Realty,5,4,80.0%
"Blair Blanchard Stapleton: Kevin McAleese &amp; Rod Wright, 905-634-4567Colliers International",5,5,100.0%
Hazelton Real Estate Inc,5,5,100.0%
Keller Williams Portfolio,5,5,100.0%
RE/MAX Affiliates Realty,5,5,100.0%
RE/MAX Jazz Inc,5,5,100.0%
Coldwell Banker Peter Benninger Real Estate,5,5,100.0%
Avison Young National Apartment Team,5,5,100.0%
Royal LePage Supreme Realty,5,5,100.0%
RE/MAX Hallmark,5,5,100.0%
Goudy Real Estate,5,5,100.0%
Sutton Group - Innovative Realty,5,5,100.0%
Rock Star Real Estate,5,5,100.0%
Sutton Group - Associated Realty,5,5,100.0%
CPM Realty,5,5,100.0%
U Realty Group,5,5,100.0%
Power Marketing Real Estate,5,5,100.0%
Cushman &amp; Wakefield Waterloo,5,5,100.0%
Reio Realty,5,4,80.0%
Cube Realty Advisors,5,3,60.0%
Mysak Realty Ltd,5,5,100.0%
Norman Hill Realty,5,5,100.0%
Keller Williams Complete Realty,5,5,100.0%
Central Commercial Real Estate,5,3,60.0%
Royal LePage Niagara Real Estate Centre,5,4,80.0%
Your Choice Realty Corp,5,4,80.0%
RE/MAX Hallmark Realty Ltd,5,5,100.0%
Homelife/City Hill Realty,5,5,100.0%
Cancorp Realty Inc,5,5,100.0%
RE/MAX Metro-City Realty,5,5,100.0%
Barclay Commercial Corp,5,5,100.0%
RE/MAX Realty One Inc,5,5,100.0%
DTZ Barnicke London Windsor Sarnia Ltd,5,5,100.0%
MFS Realty Services Inc,5,5,100.0%
RE/MAX Performance Realty,5,5,100.0%
Save Max Supreme Real Estate,5,5,100.0%
Re/Max Legend Real Estate,5,5,100.0%
jjBarnicke,5,5,100.0%
Marsh Realty &amp; Business Brokers,5,5,100.0%
Royal LePage Maximum Realty,5,3,60.0%
Commercial Focus Realty,5,5,100.0%
Sutton Group Realty Systems,5,4,80.0%
Colliers International Inc,5,5,100.0%
Savills,5,5,100.0%
Sutton Group - Admiral Realty,5,5,100.0%
Royal LePage West Realty Group,5,5,100.0%
2806408 Ontario Inc.,5,0,0.0%
City Realty Inc.,5,0,0.0%
Bright Vision Realty Inc.,5,0,0.0%
Urban Realty Point Inc.,5,0,0.0%
Westview Realty Inc,5,0,0.0%
Nancy Saedi Realty Inc.,5,0,0.0%
Homelife Yorkland Real Estate Ltd,5,0,0.0%
Regal Max Inc.,5,0,0.0%
Topcan Consulting Inc.,5,0,0.0%
Coldwell Banker Commercial,4,4,100.0%
Newmark Canada,4,1,25.0%
Royal LePage Credit Valley Real Estate,4,2,50.0%
Royal LePage Credit Valley,4,2,50.0%
Forest City Realty Ltd,4,4,100.0%
Fairsquare Group Realty,4,4,100.0%
Royal LePage Real Estate Services Ltd,4,4,100.0%
Cresa Toronto Inc,4,1,25.0%
RBC Capital Markets Realty Inc,4,3,75.0%
RE/MAX Ultimate,4,2,50.0%
Your Home Sold Guaranteed Realty Timsold Inc,4,2,50.0%
"Avison Young Commercial Real Estate Services, LP",4,4,100.0%
Faris Team Real Estate,4,3,75.0%
Indusite Realty,4,4,100.0%
Capital Commercial,4,2,50.0%
Century 21 Atria,4,3,75.0%
CPM Realty Corp,4,4,100.0%
RE/MAX a-b Realty,4,4,100.0%
CMA Realty,4,4,100.0%
CMLS Realty,4,3,75.0%
Family Realty Niagara,4,2,50.0%
Rentex Realty Inc,4,2,50.0%
Koble Commercial,4,3,75.0%
Deerbrook Realty,4,3,75.0%
